# 2017-02-25 17:40:17.479122
# CT_x9
#  path: ../data_final/CT_x9/
#  thresholds: -444.68, 332.0
#  DC-average: 0.9737 (radius = 4)
#  DC-average (opti): 0.9737 (bestRadius: 3.98)
# MR_x9
#  path: ../data_final/MR_x9/
#  thresholds: 690.36, 2078.0
#  DC-average: 0.8779 (radius = 2)
#  DC-average (opti): 0.9016 (bestRadius: 2.1)
#  DC-average (CT-COM): 0.7542
#  DC-average (CT-COM, opti): 0.7656
# 
# sliceNr  warp_X  warp_Y  warpMagnitude  DC_CT  DC_CT_opti  DC_MR  DC_MR_opti  DC_MR_CT-COM  DC_MR_opti_CT-COM  warpDC  warpDC_opti
 57     -0.08     -0.6973     0.7019     0.9557     0.9557     0.9008     0.9424     0.7023     0.7133     0.0696     0.0404
 58     -0.0766     -0.6891     0.6934     0.9557     0.9557     0.8939     0.9429     0.7045     0.7153     0.0735     0.0396
 59     -0.0767     -0.6964     0.7006     0.9579     0.9579     0.8939     0.9429     0.7045     0.7153     0.0743     0.04
 60     -0.0695     -0.6957     0.6991     0.9568     0.9568     0.8821     0.8889     0.7072     0.7178     0.0824     0.0777
 61     -0.0784     -0.6935     0.698     0.9579     0.9579     0.8889     0.8953     0.7126     0.7228     0.0776     0.0731
 62     -0.0887     -0.6899     0.6956     0.9568     0.9568     0.8923     0.8986     0.7154     0.7254     0.0749     0.0706
 63     -0.0846     -0.6693     0.6746     0.9548     0.9548     0.9042     0.9097     0.728     0.7368     0.0646     0.0609
 64     -0.0749     -0.6529     0.6572     0.9558     0.9558     0.9042     0.9097     0.728     0.7368     0.0629     0.0593
 65     -0.0736     -0.6392     0.6434     0.9566     0.9566     0.9008     0.9137     0.7328     0.7413     0.0639     0.0555
 66     -0.0714     -0.6454     0.6493     0.9569     0.9569     0.9008     0.9137     0.7328     0.7413     0.0644     0.0561
 67     -0.0552     -0.6574     0.6597     0.9577     0.9577     0.9042     0.917     0.7356     0.7439     0.0632     0.0548
 68     -0.063     -0.6508     0.6538     0.9577     0.9577     0.9042     0.917     0.7356     0.7439     0.0626     0.0543
 69     -0.0679     -0.6395     0.643     0.962     0.962     0.9077     0.9203     0.7385     0.7465     0.0594     0.0513
 70     -0.0611     -0.6282     0.6312     0.9641     0.9641     0.9077     0.9203     0.7385     0.7465     0.0583     0.0503
 71     -0.0681     -0.6172     0.621     0.9609     0.9609     0.9154     0.9275     0.7385     0.7535     0.0525     0.045
 72     -0.0668     -0.6273     0.6308     0.9621     0.9621     0.9189     0.9309     0.7413     0.7562     0.0511     0.0436
 73     -0.0607     -0.6225     0.6254     0.9641     0.9641     0.9189     0.9309     0.7413     0.7562     0.0507     0.0432
 74     -0.0659     -0.6103     0.6138     0.961     0.961     0.9195     0.9386     0.7433     0.7649     0.0494     0.0377
 75     -0.0721     -0.6076     0.6119     0.9609     0.9609     0.9195     0.9386     0.7433     0.7649     0.0492     0.0376
 76     -0.0766     -0.5927     0.5976     0.9621     0.9621     0.9195     0.9386     0.7433     0.7649     0.0481     0.0367
 77     -0.0714     -0.5813     0.5857     0.9652     0.9652     0.9195     0.9386     0.7433     0.7649     0.0471     0.0359
 78     -0.0731     -0.6002     0.6046     0.9663     0.9663     0.9195     0.9386     0.7433     0.7649     0.0486     0.0371
 79     -0.0815     -0.6075     0.613     0.9652     0.9652     0.916     0.9424     0.7481     0.7692     0.0515     0.0353
 80     -0.0683     -0.6024     0.6062     0.9652     0.9652     0.916     0.9424     0.7481     0.7692     0.0509     0.0349
 81     -0.0816     -0.5919     0.5975     0.9684     0.9684     0.916     0.9424     0.7481     0.7692     0.0502     0.0344
 82     -0.0752     -0.5949     0.5997     0.9684     0.9684     0.9125     0.9462     0.7529     0.7735     0.0524     0.0322
 83     -0.0686     -0.5946     0.5986     0.9673     0.9673     0.9125     0.9462     0.7529     0.7735     0.0523     0.0322
 84     -0.0578     -0.5851     0.588     0.9684     0.9684     0.916     0.9496     0.7557     0.7762     0.0494     0.0296
 85     -0.0605     -0.5829     0.586     0.9673     0.9673     0.916     0.9496     0.7557     0.7762     0.0492     0.0295
 86     -0.0472     -0.6074     0.6092     0.9716     0.9716     0.9195     0.9531     0.7586     0.7789     0.049     0.0286
 87     -0.0487     -0.5977     0.5997     0.9715     0.9715     0.9195     0.9531     0.7586     0.7789     0.0483     0.0281
 88     -0.0507     -0.5639     0.5662     0.9716     0.9716     0.916     0.9496     0.7634     0.7832     0.0475     0.0285
 89     -0.0551     -0.5747     0.5773     0.9715     0.9715     0.916     0.9496     0.7634     0.7832     0.0485     0.0291
 90     -0.052     -0.5511     0.5535     0.9694     0.9694     0.9195     0.9531     0.7663     0.786     0.0445     0.026
 91     -0.0473     -0.5653     0.5673     0.9673     0.9673     0.9195     0.9531     0.7663     0.786     0.0456     0.0266
 92     -0.0581     -0.5537     0.5567     0.9715     0.9715     0.916     0.9568     0.771     0.7902     0.0467     0.024
 93     -0.0626     -0.5563     0.5598     0.9704     0.9704     0.9125     0.9534     0.7757     0.7944     0.049     0.0261
 94     -0.0573     -0.5554     0.5584     0.9715     0.9715     0.9091     0.95     0.7803     0.7986     0.0508     0.0279
