#2016-12-12 19:13:24.069901


sliceNumber   distortionX   distortionY   distortionNorm   dice_CT   dice_MR
  0   -0.1135424018875737   -1.0857915001336487   1.0917119852730748   0.9799789251844047   0.8951612903225806
  1   -0.13123675500624632   -1.085468554143283   1.093373251867119   0.9810526315789474   0.8870967741935484
  2   -0.13794529386583587   -1.084893371814033   1.0936281508381875   0.9800210304942166   0.8744939271255061
  3   -0.1564484073572272   -1.075378398299911   1.0866990400725929   0.9799366420274551   0.8790322580645161
  4   -0.15775922916020324   -1.042962712154491   1.054826617662767   0.982086406743941   0.8835341365461847
  5   -0.1764836419118776   -1.0466454204761177   1.061420327705339   0.9800210304942166   0.8924302788844621
  6   -0.16590673576201542   -1.0222661427961732   1.0356414011029944   0.9789029535864979   0.8968253968253969
  7   -0.19117556794397306   -1.0110648493391565   1.0289801880249745   0.982124079915878   0.905511811023622
  8   -0.17778511047386836   -1.0107730783118711   1.0262893165897526   0.9790356394129979   0.905511811023622
  9   -0.19481045904664995   -1.0285074829846153   1.0467945154180522   0.9789473684210527   0.905511811023622
 10   -0.20042699105341288   -1.003116679560165   1.022943816421281   0.9821615949632738   0.8976377952755905
 11   -0.19287157452542747   -1.0164576547564366   1.0345944172345376   0.982124079915878   0.8976377952755905
 12   -0.19741971815765513   -1.0121872673919832   1.03126020450122   0.9831932773109243   0.8941176470588236
 13   -0.21399948218188847   -1.0119215486921007   1.0343021797722056   0.982086406743941   0.8984375
 14   -0.22187649331300197   -1.0098908157440185   1.0339770974296258   0.9852941176470589   0.8957528957528957
 15   -0.21997150815551159   -1.0076867639854044   1.0314165398671802   0.9842271293375394   0.8957528957528957
 16   -0.214615793442829   -0.9961847346286277   1.0190407078729506   0.9831578947368421   0.8957528957528957
 17   -0.21933302101821095   -0.9729405747700106   0.9973566744865017   0.9831578947368421   0.8957528957528957
 18   -0.22173380288782862   -0.9763759507154717   1.001237172940877   0.9863301787592008   0.8957528957528957
 19   -0.2261225483753151   -0.9765812762302346   1.0024182739591394   0.9863301787592008   0.9
 20   -0.2217666765660189   -0.9725364441600028   0.9975006737113111   0.9831932773109243   0.9042145593869731
 21   -0.19634730076173224   -0.9832756419514617   1.0026880125799238   0.9842602308499475   0.9049429657794676
 22   -0.19225854384018515   -0.9773608787718366   0.9960911780721708   0.9874213836477987   0.9132075471698113
 23   -0.1968014091127186   -0.9655110953150583   0.9853641305655667   0.9863301787592008   0.9213483146067416
 24   -0.18602045365839803   -0.9496830547220121   0.9677300830321481   0.9873949579831933   0.9213483146067416
 25   -0.1785507915049367   -0.94514158521811   0.961859137948817   0.9863301787592008   0.9185185185185185
 26   -0.15765450725058816   -0.929446473471284   0.9427224887020739   0.9852941176470589   0.922509225092251
 27   -0.15304151910597152   -0.902504407750353   0.9153883943873654   0.9810526315789474   0.8856088560885609
 28   -0.14187578937487721   -0.9093779075281425   0.9203786820168139   0.9831578947368421   0.8856088560885609
 29   -0.12552887113406364   -0.916931115232412   0.925483747868944   0.9842931937172775   0.8897058823529411
 30   -0.1270082504427048   -0.9032457779226952   0.9121315864587147   0.9863588667366212   0.8897058823529411
 31   -0.12325274160273025   -0.9052151538337689   0.9135675744261523   0.9852941176470589   0.8970588235294118
 32   -0.11594465177568569   -0.8977574737394569   0.905213590226327   0.9852941176470589   0.9084249084249084
 33   -0.1005724151146854   -0.8832936052113105   0.8890007894761371   0.9842602308499475   0.9197080291970803
 34   -0.11171105484032928   -0.8788661096708346   0.8859373558562064   0.9863301787592008   0.9197080291970803
 35   -0.1135192185741909   -0.867762165281377   0.8751558652488817   0.9473684210526315   0.9236363636363636
 36   -0.09870808934667608   -0.8527828865064393   0.8584765217644137   0.9863013698630136   0.9236363636363636
 37   -0.09848126523143819   -0.8362713244205437   0.8420500505609362   0.9873684210526316   0.9202898550724637
 38   -0.09015468054451414   -0.8098663907304982   0.8148689693803092   0.9852631578947368   0.9236363636363636
