# 2017-01-13 18:03:14.757318
# CT_x100
#  path: ../data_final/CT_x100/
#  thresholds: -457.4, 329.0
#  dc-average: 0.99 (radius = 4)
#  dc-average (opti): 0.99 (bestRadius: 4.0)
# MR_x100
#  path: ../data_final/MR_x100/
#  thresholds: 707.85, 2095.0
#  dc-average: 0.8977 (radius = 2)
#  dc-average (opti): 0.9247 (bestRadius: 2.12)
#  dc-average (CT-COM): 0.783
#  dc-average (CT-COM, opti): 0.7872
# 
# sliceNr  warp_X  warp_Y  warpMagnitude  dc_CT  dc_CT_opti  dc_MR  dc_MR_opti  dc_MR_CT-COM  dc_MR_opti_CT-COM
 58     -0.0773     -0.6881     0.6924     0.9921     0.9921     0.9105     0.9737     0.7864     0.7936
 59     -0.0775     -0.6949     0.6992     0.9896     0.9896     0.9096     0.974     0.7593     0.7679
 60     -0.0703     -0.6936     0.6972     0.9894     0.9894     0.909     0.9618     0.7608     0.77
 61     -0.0783     -0.6919     0.6963     0.9907     0.9907     0.9105     0.9647     0.7628     0.772
 62     -0.0883     -0.6874     0.6931     0.99     0.99     0.9128     0.9668     0.7668     0.7757
 63     -0.0849     -0.6672     0.6726     0.9899     0.9899     0.9137     0.9691     0.7704     0.7798
 64     -0.0744     -0.6513     0.6555     0.9896     0.9896     0.9128     0.9707     0.7737     0.7829
 65     -0.0734     -0.6386     0.6428     0.9909     0.9909     0.9131     0.9723     0.7754     0.7852
 66     -0.0715     -0.6447     0.6487     0.9916     0.9916     0.9128     0.9739     0.7779     0.7875
 67     -0.0559     -0.6565     0.6589     0.9906     0.9906     0.9137     0.9749     0.7787     0.7883
 68     -0.0631     -0.6501     0.6531     0.9924     0.9924     0.914     0.9758     0.7825     0.7918
 69     -0.0678     -0.6393     0.6429     0.9938     0.9938     0.914     0.9765     0.7845     0.7938
 70     -0.0615     -0.6292     0.6321     0.9932     0.9932     0.9169     0.9761     0.7891     0.7982
 71     -0.0689     -0.6172     0.621     0.9938     0.9938     0.9175     0.9663     0.7904     0.7993
 72     -0.0669     -0.6269     0.6304     0.9935     0.9935     0.9185     0.9673     0.7919     0.8008
 73     -0.0619     -0.6216     0.6247     0.9934     0.9934     0.9175     0.9683     0.7932     0.802
 74     -0.0665     -0.6099     0.6135     0.991     0.991     0.9161     0.9592     0.7939     0.8026
 75     -0.0729     -0.6071     0.6115     0.9939     0.9939     0.9149     0.9593     0.7969     0.8055
 76     -0.0763     -0.5926     0.5975     0.9922     0.9922     0.9146     0.9596     0.7989     0.8074
 77     -0.0721     -0.5822     0.5867     0.9944     0.9944     0.914     0.9603     0.8004     0.8088
 78     -0.0741     -0.6004     0.605     0.9942     0.9942     0.913     0.9607     0.8024     0.8107
 79     -0.0815     -0.6077     0.6132     0.995     0.995     0.9127     0.9617     0.8042     0.8124
 80     -0.0692     -0.6023     0.6063     0.9936     0.9936     0.9143     0.9606     0.8063     0.8144
 81     -0.082     -0.5923     0.598     0.9942     0.9942     0.914     0.9622     0.8095     0.8174
 82     -0.0762     -0.5947     0.5995     0.9937     0.9937     0.9133     0.9629     0.8131     0.8208
 83     -0.0699     -0.5943     0.5984     0.9929     0.9929     0.9134     0.9636     0.8146     0.8222
 84     -0.0589     -0.5853     0.5883     0.993     0.993     0.9147     0.9642     0.8164     0.824
 85     -0.0614     -0.583     0.5862     0.9931     0.9931     0.914     0.9635     0.8192     0.8266
 86     -0.0485     -0.6072     0.6091     0.9887     0.9887     0.914     0.9558     0.7921     0.8003
 87     -0.0496     -0.5972     0.5993     0.9891     0.9891     0.9127     0.9565     0.7937     0.8018
 88     -0.0513     -0.5647     0.567     0.9919     0.9919     0.9121     0.9585     0.8245     0.8315
 89     -0.0555     -0.575     0.5777     0.9897     0.9897     0.9124     0.9588     0.7969     0.8049
 90     -0.0511     -0.551     0.5533     0.992     0.992     0.9124     0.9601     0.8289     0.8357
 91     -0.0472     -0.5644     0.5664     0.9898     0.9898     0.9124     0.9601     0.8004     0.8081
 92     -0.0577     -0.5528     0.5558     0.9909     0.9909     0.9128     0.961     0.83     0.8368
 93     -0.0627     -0.5561     0.5596     0.9909     0.9909     0.9124     0.9614     0.8033     0.8109
 94     -0.0572     -0.5555     0.5584     0.9901     0.9901     0.9128     0.9623     0.805     0.8125
 95     -0.0621     -0.5505     0.554     0.9892     0.9892     0.9112     0.9621     0.805     0.8125
 96     -0.0659     -0.5526     0.5565     0.9912     0.9912     0.9115     0.963     0.8074     0.8147
 97     -0.0488     -0.5689     0.571     0.9928     0.9928     0.9112     0.9633     0.8078     0.8151
 98     -0.0598     -0.5748     0.5779     0.9935     0.9935     0.9112     0.964     0.8078     0.8151
 99     -0.0599     -0.5593     0.5625     0.9917     0.9917     0.9105     0.9647     0.8093     0.8165
100     -0.0652     -0.5734     0.5771     0.9922     0.9922     0.9102     0.9631     0.809     0.8162
101     -0.0588     -0.58     0.583     0.9928     0.9928     0.908     0.9628     0.8126     0.8196
102     -0.0561     -0.5693     0.572     0.9931     0.9931     0.9083     0.9618     0.8143     0.8212
103     -0.0508     -0.56     0.5623     0.9944     0.9944     0.9077     0.9619     0.8151     0.822
104     -0.0595     -0.577     0.5801     0.9926     0.9926     0.908     0.9609     0.8167     0.8235
105     -0.0544     -0.5716     0.5742     0.9936     0.9936     0.9065     0.9594     0.8181     0.8248
106     -0.0458     -0.5757     0.5775     0.9933     0.9933     0.9061     0.9584     0.8192     0.8258
