# 2017-01-16 22:57:57.881992
# CT_x1
#  path: ../data_final/CT_x1/
#  thresholds: -430.61, 333.0
#  dc-average: 0.861 (radius = 4)
#  dc-average (opti): 0.8671 (bestRadius: 4.04)
# MR_x1
#  path: ../data_final/MR_x1/
#  thresholds: 630.99, 2079.0
#  dc-average: 0.7049 (radius = 2)
#  dc-average (opti): 0.751 (bestRadius: 2.2)
#  dc-average (CT-COM): 0.5954
#  dc-average (CT-COM, opti): 0.6416
# 
# sliceNr  warp_X  warp_Y  warpMagnitude  dc_CT  dc_CT_opti  dc_MR  dc_MR_opti  dc_MR_CT-COM  dc_MR_opti_CT-COM  warpDC  warpDC_opti
 48     -0.0358     -0.7673     0.7682     0.8713     0.8624     0.7742     0.8205     0.6452     0.6667     0.1735     0.1379
 49     -0.0259     -0.7455     0.7459     0.8713     0.8624     0.7742     0.8205     0.6452     0.6667     0.1684     0.1339
 50     -0.0313     -0.7469     0.7475     0.8713     0.8624     0.7742     0.8205     0.6452     0.6667     0.1688     0.1342
 51     -0.031     -0.7327     0.7334     0.8713     0.8624     0.7742     0.8205     0.6452     0.6667     0.1656     0.1316
 52     -0.0093     -0.7238     0.7239     0.8713     0.8624     0.7742     0.8205     0.6452     0.6667     0.1635     0.1299
 53     -0.024     -0.7309     0.7313     0.8713     0.8624     0.7742     0.8205     0.6452     0.6667     0.1651     0.1313
 54     -0.0219     -0.7291     0.7294     0.8713     0.8624     0.7742     0.8205     0.6452     0.6667     0.1647     0.1309
 55     -0.017     -0.7071     0.7073     0.8713     0.8624     0.7742     0.8205     0.6452     0.6667     0.1597     0.1269
 56     -0.033     -0.7267     0.7275     0.8713     0.8624     0.7742     0.8205     0.6452     0.6667     0.1643     0.1306
 57     -0.0247     -0.6984     0.6988     0.8713     0.8624     0.7742     0.8205     0.6452     0.6667     0.1578     0.1254
 58     -0.024     -0.6879     0.6883     0.8713     0.8624     0.7742     0.8205     0.6452     0.6667     0.1554     0.1235
 59     -0.0257     -0.695     0.6955     0.8713     0.8624     0.7742     0.8205     0.6452     0.6667     0.157     0.1248
 60     -0.0136     -0.6913     0.6915     0.8713     0.8624     0.6452     0.6667     0.6452     0.6667     0.2454     0.2305
 61     -0.0217     -0.6894     0.6897     0.8713     0.8624     0.6452     0.7179     0.6452     0.7179     0.2447     0.1945
 62     -0.0335     -0.6861     0.687     0.8713     0.8624     0.6452     0.7179     0.6452     0.7179     0.2438     0.1938
 63     -0.0332     -0.6639     0.6648     0.8713     0.8624     0.6452     0.7179     0.6452     0.7179     0.2359     0.1875
 64     -0.0222     -0.6461     0.6465     0.8713     0.8624     0.6452     0.7179     0.6452     0.7179     0.2294     0.1823
 65     -0.0191     -0.6353     0.6356     0.8713     0.8624     0.6452     0.7179     0.6452     0.7179     0.2255     0.1793
 66     -0.0196     -0.6401     0.6404     0.8713     0.8624     0.6452     0.7179     0.6452     0.7179     0.2272     0.1806
 67     -0.0041     -0.6514     0.6514     0.8713     0.8624     0.6452     0.7179     0.6452     0.7179     0.2311     0.1837
 68     -0.013     -0.6426     0.6427     0.8713     0.8624     0.6452     0.7179     0.6452     0.7179     0.2281     0.1813
 69     -0.018     -0.6302     0.6304     0.8713     0.8624     0.6452     0.7179     0.6452     0.7179     0.2237     0.1778
 70     -0.0071     -0.6198     0.6199     0.8713     0.8624     0.6452     0.7179     0.6452     0.7179     0.22     0.1748
 71     -0.0188     -0.6073     0.6076     0.8713     0.8624     0.6452     0.7179     0.6452     0.7179     0.2156     0.1714
 72     -0.0174     -0.6144     0.6146     0.8713     0.8624     0.6452     0.7179     0.6452     0.7179     0.2181     0.1734
 73     -0.0126     -0.61     0.6101     0.8713     0.8624     0.6452     0.7179     0.6452     0.7179     0.2165     0.1721
 74     -0.016     -0.5988     0.599     0.8713     0.8624     0.6452     0.7179     0.6452     0.7179     0.2125     0.1689
 75     -0.0224     -0.5972     0.5976     0.8713     0.8624     0.6452     0.7179     0.6452     0.7179     0.2121     0.1686
 76     -0.0229     -0.585     0.5855     0.8713     0.8624     0.6452     0.7179     0.6452     0.7179     0.2078     0.1651
 77     -0.0272     -0.5699     0.5705     0.8713     0.8624     0.6452     0.7179     0.6452     0.7179     0.2024     0.1609
 78     -0.0309     -0.5911     0.5919     0.8713     0.8624     0.6452     0.7179     0.6452     0.7179     0.21     0.1669
 79     -0.0382     -0.5984     0.5996     0.8713     0.8624     0.6452     0.7179     0.6452     0.7179     0.2128     0.1691
 80     -0.0258     -0.5894     0.59     0.8713     0.8624     0.6452     0.7179     0.6452     0.7179     0.2094     0.1664
 81     -0.0392     -0.58     0.5813     0.8713     0.8624     0.6452     0.7179     0.6452     0.7179     0.2063     0.164
