# 2017-01-16 22:57:57.881992
# CT_x4
#  path: ../data_final/CT_x4/
#  thresholds: -433.0, 332.0
#  dc-average: 0.945 (radius = 4)
#  dc-average (opti): 0.9453 (bestRadius: 4.04)
# MR_x4
#  path: ../data_final/MR_x4/
#  thresholds: 684.2, 2078.0
#  dc-average: 0.8295 (radius = 2)
#  dc-average (opti): 0.8707 (bestRadius: 2.2)
#  dc-average (CT-COM): 0.7076
#  dc-average (CT-COM, opti): 0.7229
# 
# sliceNr  warp_X  warp_Y  warpMagnitude  dc_CT  dc_CT_opti  dc_MR  dc_MR_opti  dc_MR_CT-COM  dc_MR_opti_CT-COM  warpDC  warpDC_opti
  0     -0.1177     -1.0879     1.0943     0.9359     0.9371     0.8571     0.8305     0.5102     0.5254     0.1563     0.1855
  1     -0.1359     -1.0901     1.0985     0.9384     0.9395     0.8571     0.8305     0.5102     0.5254     0.1569     0.1862
  2     -0.1441     -1.0878     1.0973     0.9359     0.9371     0.8283     0.8403     0.5253     0.5546     0.1884     0.1752
  3     -0.1615     -1.0754     1.0874     0.9359     0.9371     0.8283     0.8403     0.5253     0.5546     0.1867     0.1736
  4     -0.1635     -1.0427     1.0554     0.9314     0.9327     0.7879     0.7731     0.5253     0.5546     0.2239     0.2395
  5     -0.1818     -1.0449     1.0605     0.9384     0.9395     0.7921     0.7769     0.5347     0.562     0.2205     0.2366
  6     -0.1703     -1.0213     1.0354     0.9308     0.9321     0.8039     0.7869     0.549     0.5738     0.203     0.2207
  7     -0.195     -1.0115     1.0301     0.9311     0.9324     0.8039     0.7869     0.549     0.5738     0.202     0.2195
  8     -0.1805     -1.0108     1.0268     0.9384     0.9395     0.8039     0.7869     0.549     0.5738     0.2013     0.2188
  9     -0.1974     -1.0305     1.0492     0.9333     0.9346     0.8039     0.7869     0.549     0.5738     0.2057     0.2236
 10     -0.2037     -1.0061     1.0265     0.9406     0.9371     0.7921     0.7769     0.5347     0.562     0.2134     0.2291
 11     -0.195     -1.0216     1.0401     0.9362     0.9374     0.7921     0.7769     0.5347     0.562     0.2163     0.2321
 12     -0.1986     -1.0158     1.035     0.9384     0.9395     0.7843     0.7869     0.549     0.5738     0.2232     0.2206
 13     -0.2133     -1.0154     1.0375     0.9384     0.9395     0.7885     0.8065     0.5769     0.5968     0.2195     0.2008
 14     -0.222     -1.0157     1.0396     0.9409     0.942     0.7885     0.8065     0.5769     0.5968     0.2199     0.2012
 15     -0.2208     -1.0117     1.0355     0.9409     0.942     0.7885     0.8065     0.5769     0.5968     0.219     0.2004
 16     -0.215     -0.9992     1.0221     0.9409     0.942     0.7885     0.8065     0.5769     0.5968     0.2162     0.1978
 17     -0.2203     -0.9741     0.9987     0.9384     0.9395     0.7885     0.8065     0.5769     0.5968     0.2113     0.1933
 18     -0.2229     -0.9772     1.0023     0.9409     0.942     0.7885     0.8065     0.5769     0.5968     0.212     0.194
 19     -0.2283     -0.9783     1.0046     0.9409     0.942     0.7885     0.8065     0.5769     0.5968     0.2125     0.1944
 20     -0.225     -0.974     0.9996     0.9409     0.942     0.7885     0.8065     0.5769     0.5968     0.2115     0.1935
