# 2017-01-13 18:03:14.757318
# CT_x4
#  path: ../data_final/CT_x4/
#  thresholds: -433.0, 332.0
#  dc-average: 0.945 (radius = 4)
#  dc-average (opti): 0.9453 (bestRadius: 4.04)
# MR_x4
#  path: ../data_final/MR_x4/
#  thresholds: 684.2, 2078.0
#  dc-average: 0.8295 (radius = 2)
#  dc-average (opti): 0.8707 (bestRadius: 2.2)
#  dc-average (CT-COM): 0.7076
#  dc-average (CT-COM, opti): 0.7229
# 
# sliceNr  warp_X  warp_Y  warpMagnitude  dc_CT  dc_CT_opti  dc_MR  dc_MR_opti  dc_MR_CT-COM  dc_MR_opti_CT-COM
  0     -0.1177     -1.0879     1.0943     0.9359     0.9371     0.8571     0.8305     0.5102     0.5254
  1     -0.1359     -1.0901     1.0985     0.9384     0.9395     0.8571     0.8305     0.5102     0.5254
  2     -0.1441     -1.0878     1.0973     0.9359     0.9371     0.8283     0.8403     0.5253     0.5546
  3     -0.1615     -1.0754     1.0874     0.9359     0.9371     0.8283     0.8403     0.5253     0.5546
  4     -0.1635     -1.0427     1.0554     0.9314     0.9327     0.7879     0.7731     0.5253     0.5546
  5     -0.1818     -1.0449     1.0605     0.9384     0.9395     0.7921     0.7769     0.5347     0.562
  6     -0.1703     -1.0213     1.0354     0.9308     0.9321     0.8039     0.7869     0.549     0.5738
  7     -0.195     -1.0115     1.0301     0.9311     0.9324     0.8039     0.7869     0.549     0.5738
  8     -0.1805     -1.0108     1.0268     0.9384     0.9395     0.8039     0.7869     0.549     0.5738
  9     -0.1974     -1.0305     1.0492     0.9333     0.9346     0.8039     0.7869     0.549     0.5738
 10     -0.2037     -1.0061     1.0265     0.9406     0.9371     0.7921     0.7769     0.5347     0.562
 11     -0.195     -1.0216     1.0401     0.9362     0.9374     0.7921     0.7769     0.5347     0.562
 12     -0.1986     -1.0158     1.035     0.9384     0.9395     0.7843     0.7869     0.549     0.5738
 13     -0.2133     -1.0154     1.0375     0.9384     0.9395     0.7885     0.8065     0.5769     0.5968
 14     -0.222     -1.0157     1.0396     0.9409     0.942     0.7885     0.8065     0.5769     0.5968
 15     -0.2208     -1.0117     1.0355     0.9409     0.942     0.7885     0.8065     0.5769     0.5968
 16     -0.215     -0.9992     1.0221     0.9409     0.942     0.7885     0.8065     0.5769     0.5968
 17     -0.2203     -0.9741     0.9987     0.9384     0.9395     0.7885     0.8065     0.5769     0.5968
 18     -0.2229     -0.9772     1.0023     0.9409     0.942     0.7885     0.8065     0.5769     0.5968
 19     -0.2283     -0.9783     1.0046     0.9409     0.942     0.7885     0.8065     0.5769     0.5968
 20     -0.225     -0.974     0.9996     0.9409     0.942     0.7885     0.8065     0.5769     0.5968
 21     -0.1993     -0.9847     1.0047     0.9431     0.9442     0.7885     0.8065     0.5769     0.5968
 22     -0.1956     -0.978     0.9974     0.9431     0.9442     0.8     0.816     0.5714     0.608
 23     -0.2002     -0.9664     0.9869     0.9409     0.942     0.8113     0.8254     0.566     0.6032
 24     -0.1901     -0.9517     0.9705     0.9409     0.942     0.8037     0.8346     0.5794     0.6142
 25     -0.183     -0.9478     0.9653     0.9409     0.942     0.8148     0.8438     0.5926     0.625
 26     -0.1605     -0.9314     0.9451     0.9409     0.942     0.8148     0.8438     0.5926     0.625
 27     -0.1546     -0.905     0.9181     0.9409     0.942     0.8257     0.8527     0.6055     0.6357
 28     -0.1444     -0.9111     0.9224     0.9384     0.9395     0.8257     0.8527     0.6055     0.6357
 29     -0.1283     -0.9187     0.9276     0.9431     0.9442     0.8257     0.8527     0.6055     0.6357
 30     -0.1306     -0.9049     0.9143     0.9454     0.9464     0.8257     0.8527     0.6055     0.6357
 31     -0.1254     -0.9065     0.9152     0.9409     0.942     0.8468     0.8702     0.6306     0.6565
 32     -0.1159     -0.8973     0.9048     0.9409     0.942     0.8468     0.8702     0.6306     0.6565
 33     -0.1002     -0.8844     0.89     0.9454     0.9464     0.8545     0.8769     0.6364     0.6615
 34     -0.1123     -0.8795     0.8867     0.9454     0.9464     0.8545     0.8769     0.6364     0.6615
 35     -0.1145     -0.8683     0.8758     0.9454     0.9464     0.8545     0.8769     0.6364     0.6615
 36     -0.0982     -0.8534     0.8591     0.9431     0.9442     0.8545     0.8769     0.6364     0.6615
 37     -0.0992     -0.8368     0.8426     0.9454     0.9464     0.8468     0.8855     0.6486     0.6718
 38     -0.0906     -0.8094     0.8145     0.9454     0.9464     0.8468     0.8855     0.6486     0.6718
 39     -0.1024     -0.8028     0.8093     0.9454     0.9464     0.8496     0.9023     0.6726     0.6917
 40     -0.1104     -0.8016     0.8092     0.9454     0.9464     0.8496     0.9023     0.6726     0.6917
 41     -0.103     -0.8109     0.8174     0.9454     0.9464     0.8496     0.9023     0.6726     0.6917
 42     -0.0913     -0.7959     0.8011     0.9431     0.9442     0.8496     0.9023     0.6726     0.6917
