# 2017-01-13 18:03:14.757318
# CT_x25
#  path: ../data_final/CT_x25/
#  thresholds: -457.88, 331.0
#  dc-average: 0.9771 (radius = 4)
#  dc-average (opti): 0.9771 (bestRadius: 4.0)
# MR_x25
#  path: ../data_final/MR_x25/
#  thresholds: 705.15, 2087.0
#  dc-average: 0.8943 (radius = 2)
#  dc-average (opti): 0.9145 (bestRadius: 2.12)
#  dc-average (CT-COM): 0.7664
#  dc-average (CT-COM, opti): 0.7715
# 
# sliceNr  warp_X  warp_Y  warpMagnitude  dc_CT  dc_CT_opti  dc_MR  dc_MR_opti  dc_MR_CT-COM  dc_MR_opti_CT-COM
  0     -0.1126     -1.092     1.0978     0.9813     0.9813     0.9213     0.8593     0.6324     0.6365
  1     -0.1287     -1.0923     1.0999     0.9814     0.9814     0.9265     0.8643     0.6358     0.6426
  2     -0.1358     -1.0915     1.0999     0.9806     0.9806     0.9319     0.8726     0.6434     0.6498
  3     -0.1536     -1.0799     1.0908     0.9821     0.9821     0.9403     0.8808     0.6572     0.6627
  4     -0.1557     -1.0468     1.0583     0.9825     0.9825     0.9423     0.8889     0.6583     0.6637
  5     -0.1728     -1.0487     1.0628     0.9798     0.9798     0.9397     0.8984     0.6615     0.6667
  6     -0.1639     -1.0251     1.0381     0.979     0.979     0.9401     0.9047     0.6605     0.6657
  7     -0.1886     -1.0149     1.0323     0.9798     0.9798     0.9401     0.9047     0.6605     0.6657
  8     -0.1759     -1.015     1.0301     0.9779     0.9779     0.9342     0.9078     0.6646     0.6696
  9     -0.1932     -1.0327     1.0506     0.9616     0.9616     0.9287     0.9142     0.607     0.6152
 10     -0.2003     -1.0091     1.0288     0.9772     0.9772     0.9245     0.9188     0.6647     0.6695
 11     -0.1931     -1.0221     1.0402     0.9635     0.9635     0.9245     0.9188     0.6103     0.6182
 12     -0.199     -1.0176     1.0368     0.9638     0.9638     0.9233     0.9233     0.6135     0.6213
 13     -0.2139     -1.0174     1.0397     0.9653     0.9653     0.9219     0.922     0.6156     0.6232
 14     -0.2216     -1.0156     1.0395     0.9665     0.9665     0.9192     0.9222     0.6198     0.6271
 15     -0.2201     -1.013     1.0366     0.9676     0.9676     0.9192     0.9222     0.6198     0.6271
 16     -0.2151     -1.0012     1.024     0.9684     0.9684     0.9164     0.9252     0.6239     0.631
 17     -0.22     -0.9784     1.0029     0.9665     0.9665     0.9153     0.9269     0.627     0.6339
 18     -0.2221     -0.9803     1.0052     0.9669     0.9669     0.9126     0.8996     0.6311     0.6378
 19     -0.2269     -0.9802     1.0062     0.9661     0.9661     0.9099     0.9026     0.6352     0.6416
 20     -0.2217     -0.9757     1.0006     0.9684     0.9684     0.9131     0.9056     0.6392     0.6453
 21     -0.1968     -0.9859     1.0054     0.9692     0.9692     0.9147     0.9071     0.6412     0.6472
 22     -0.1934     -0.9793     0.9982     0.9695     0.9695     0.9136     0.9088     0.6384     0.6445
