# 2017-01-13 12:52:22.905976
# CT_x16
#  path: ../data_final/CT_x16/
#  thresholds: -456.84, 330.0
#  dc-average: 0.973246497932
#  dc-average (opti): 0.973246497932
# MR_x16
#  path: ../data_final/MR_x16/
#  thresholds: 706.05, 2082.0
#  dc-average: 0.888815886602
#  dc-average (opti): 0.907761173522
#  dc-average (CT-COM): 0.761380251249
#  dc-average (CT-COM, opti): 0.763246479026
# 
sliceNumber   warp_X   warp_Y   warpMagnitude   dc_CT   dc_CT_opti   dc_MR   dc_MR_opti   dc_MR_CT-COM   dc_MR_opti_CT-COM
  0   -0.1123   -1.0937   1.0994   0.9579   0.9579   0.9377   0.8765   0.5885   0.5917
  1   -0.1281   -1.0923   1.0998   0.9584   0.9584   0.9356   0.8843   0.5891   0.5922
  2   -0.1352   -1.0908   1.0991   0.9567   0.9567   0.9333   0.8868   0.5877   0.5908
  3   -0.1535   -1.0802   1.0911   0.9578   0.9578   0.9314   0.8945   0.5931   0.5962
  4   -0.156   -1.0472   1.0587   0.9572   0.9572   0.9294   0.9021   0.6034   0.6062
  5   -0.1735   -1.0497   1.0639   0.9579   0.9579   0.9007   0.8844   0.6053   0.6081
  6   -0.1646   -1.0266   1.0397   0.9745   0.9745   0.9012   0.8849   0.6265   0.6241
  7   -0.1899   -1.0165   1.034   0.9567   0.9567   0.9012   0.8849   0.6072   0.6099
  8   -0.1771   -1.017   1.0323   0.9745   0.9745   0.9065   0.8899   0.6283   0.6259
  9   -0.1935   -1.0343   1.0522   0.9786   0.9786   0.9121   0.8953   0.6366   0.634
 10   -0.2004   -1.01   1.0297   0.978   0.978   0.9078   0.8914   0.6336   0.6311
 11   -0.1928   -1.0227   1.0407   0.9775   0.9775   0.9057   0.8938   0.6368   0.6343
 12   -0.1986   -1.0172   1.0364   0.9804   0.9804   0.9057   0.8938   0.6415   0.6389
 13   -0.2141   -1.0172   1.0395   0.9792   0.9792   0.904   0.9011   0.6417   0.6437
 14   -0.2217   -1.015   1.0389   0.9608   0.9608   0.904   0.9011   0.623   0.6253
 15   -0.2196   -1.0124   1.0359   0.956   0.956   0.9019   0.9035   0.6262   0.6284
 16   -0.2147   -1.0004   1.0232   0.9792   0.9792   0.8977   0.9083   0.6512   0.653
 17   -0.2194   -0.9773   1.0016   0.9584   0.9584   0.8956   0.9063   0.6311   0.6333
 18   -0.2223   -0.9789   1.0039   0.9602   0.9602   0.9007   0.9111   0.6374   0.6395
 19   -0.226   -0.9793   1.005   0.959   0.959   0.8966   0.9158   0.6391   0.6411
 20   -0.2216   -0.9751   1.0   0.9578   0.9578   0.8966   0.9158   0.6391   0.6411
 21   -0.1966   -0.9844   1.0039   0.9822   0.9822   0.8966   0.9158   0.6621   0.6637
 22   -0.1929   -0.9785   0.9974   0.9828   0.9828   0.8991   0.9181   0.6651   0.6667
 23   -0.1982   -0.967   0.9871   0.9602   0.9602   0.9041   0.9227   0.6393   0.6413
 24   -0.187   -0.951   0.9692   0.9632   0.9632   0.9091   0.9274   0.6455   0.6473
 25   -0.1802   -0.9465   0.9635   0.9591   0.9591   0.9189   0.9364   0.6532   0.6549
 26   -0.16   -0.9309   0.9446   0.9816   0.9816   0.9148   0.9367   0.6771   0.6784
 27   -0.1542   -0.9048   0.9178   0.9792   0.9792   0.9152   0.937   0.6875   0.6886
 28   -0.1434   -0.9108   0.922   0.9816   0.9816   0.9172   0.9389   0.689   0.6901
 29   -0.1271   -0.9171   0.9258   0.9852   0.9852   0.9196   0.9412   0.692   0.693
 30   -0.1277   -0.9033   0.9123   0.9864   0.9864   0.9241   0.9454   0.7009   0.7018
 31   -0.1237   -0.9045   0.9129   0.9846   0.9846   0.9241   0.9454   0.7009   0.7018
 32   -0.1165   -0.897   0.9046   0.9846   0.9846   0.9265   0.9476   0.7038   0.7046
 33   -0.1013   -0.8837   0.8895   0.9882   0.9882   0.9135   0.9144   0.7095   0.7102
 34   -0.1135   -0.8792   0.8864   0.9621   0.9621   0.9135   0.9144   0.6918   0.6928
 35   -0.1154   -0.8678   0.8754   0.962   0.962   0.9163   0.9212   0.7004   0.7013
 36   -0.1002   -0.8533   0.8592   0.9863   0.9863   0.9187   0.9234   0.7209   0.7214
 37   -0.1003   -0.8361   0.8421   0.9656   0.9656   0.9207   0.9253   0.7048   0.7056
 38   -0.0925   -0.8097   0.815   0.9887   0.9887   0.9187   0.9275   0.7253   0.7257
 39   -0.1035   -0.8027   0.8093   0.9633   0.9633   0.9187   0.9275   0.7033   0.7041
 40   -0.1116   -0.8026   0.8103   0.9651   0.9651   0.9207   0.9336   0.7093   0.71
