# 2017-01-13 12:52:22.905976
# CT_x16
#  path: ../data_final/CT_x16/
#  thresholds: -456.84, 330.0
#  dc-average: 0.973246497932
#  dc-average (opti): 0.973246497932
# MR_x16
#  path: ../data_final/MR_x16/
#  thresholds: 706.05, 2082.0
#  dc-average: 0.888815886602
#  dc-average (opti): 0.907761173522
#  dc-average (CT-COM): 0.761380251249
#  dc-average (CT-COM, opti): 0.763246479026
# 
sliceNumber   warp_X   warp_Y   warpMagnitude   dc_CT   dc_CT_opti   dc_MR   dc_MR_opti   dc_MR_CT-COM   dc_MR_opti_CT-COM
 41   -0.1057   -0.8122   0.819   0.9663   0.9663   0.9248   0.9417   0.7168   0.7174
 42   -0.0944   -0.7979   0.8034   0.9657   0.9657   0.9231   0.9482   0.7209   0.7257
 43   -0.1057   -0.7852   0.7923   0.9663   0.9663   0.9231   0.9482   0.7209   0.7257
 44   -0.0993   -0.7781   0.7844   0.9632   0.9632   0.9231   0.9482   0.7209   0.7257
 45   -0.0901   -0.7459   0.7513   0.9633   0.9633   0.9231   0.9482   0.7209   0.7257
 46   -0.0948   -0.7613   0.7672   0.9651   0.9651   0.9211   0.9504   0.7281   0.7328
 47   -0.0834   -0.7595   0.764   0.9645   0.9645   0.9231   0.9524   0.7341   0.7387
 48   -0.0822   -0.7584   0.7629   0.9645   0.9645   0.9251   0.9544   0.7357   0.7403
 49   -0.0784   -0.7448   0.7489   0.9929   0.9929   0.9251   0.9585   0.7665   0.7662
 50   -0.0828   -0.7416   0.7462   0.9651   0.9651   0.9231   0.9607   0.7385   0.743
 51   -0.0776   -0.7322   0.7363   0.9639   0.9639   0.9211   0.9587   0.7412   0.7457
 52   -0.0621   -0.7238   0.7265   0.9941   0.9941   0.9214   0.963   0.7686   0.7682
 53   -0.078   -0.7241   0.7283   0.9645   0.9645   0.9237   0.9651   0.7495   0.7537
 54   -0.0771   -0.7242   0.7283   0.965   0.965   0.9241   0.9693   0.7505   0.7548
 55   -0.074   -0.7045   0.7084   0.9681   0.9681   0.9221   0.9673   0.7532   0.7574
 56   -0.0907   -0.7225   0.7281   0.9691   0.9691   0.9181   0.9675   0.7586   0.7627
 57   -0.0819   -0.6955   0.7003   0.9667   0.9667   0.9161   0.9696   0.7613   0.7653
 58   -0.0781   -0.6879   0.6923   0.9662   0.9662   0.9161   0.9696   0.7613   0.7653
 59   -0.0785   -0.6947   0.6991   0.9668   0.9668   0.9161   0.9696   0.7613   0.7653
 60   -0.0711   -0.6933   0.697   0.968   0.968   0.9142   0.9352   0.7682   0.7722
 61   -0.0794   -0.692   0.6965   0.9674   0.9674   0.9142   0.9352   0.7682   0.7722
 62   -0.0895   -0.6874   0.6932   0.9686   0.9686   0.9142   0.9352   0.7682   0.7722
 63   -0.086   -0.6665   0.672   0.9681   0.9681   0.9161   0.9371   0.7699   0.7738
 64   -0.0753   -0.6504   0.6548   0.9685   0.9685   0.9161   0.9371   0.7699   0.7738
 65   -0.0744   -0.638   0.6423   0.9644   0.9644   0.9201   0.9409   0.7732   0.7771
 66   -0.0723   -0.6441   0.6481   0.965   0.965   0.9201   0.9409   0.7732   0.7771
 67   -0.0565   -0.6559   0.6583   0.9651   0.9651   0.9201   0.9409   0.7732   0.7771
 68   -0.0637   -0.6493   0.6524   0.9656   0.9656   0.9221   0.951   0.7835   0.7872
 69   -0.0688   -0.6388   0.6425   0.9663   0.9663   0.9261   0.9549   0.787   0.7906
 70   -0.062   -0.6286   0.6317   0.9645   0.9645   0.9281   0.9569   0.7887   0.7923
 71   -0.0696   -0.6167   0.6207   0.9663   0.9663   0.9281   0.9569   0.7887   0.7923
 72   -0.0676   -0.6264   0.6301   0.9508   0.9508   0.9281   0.9569   0.7233   0.7238
 73   -0.0624   -0.6215   0.6246   0.9526   0.9526   0.9281   0.9569   0.7233   0.7238
 74   -0.0674   -0.6099   0.6136   0.9668   0.9668   0.9301   0.9588   0.7904   0.794
 75   -0.0738   -0.6076   0.612   0.9703   0.9703   0.9281   0.961   0.793   0.7966
 76   -0.0769   -0.5932   0.5982   0.9686   0.9686   0.9261   0.959   0.8   0.8034
 77   -0.0732   -0.5828   0.5874   0.9692   0.9692   0.9261   0.9631   0.8043   0.8077
 78   -0.0748   -0.601   0.6056   0.955   0.955   0.9261   0.9631   0.7391   0.7393
 79   -0.0821   -0.6086   0.6141   0.9573   0.9573   0.9281   0.9651   0.7407   0.7409
 80   -0.0701   -0.6032   0.6073   0.9574   0.9574   0.9281   0.9651   0.7407   0.7409
 81   -0.0833   -0.5934   0.5992   0.9544   0.9544   0.9221   0.9673   0.7489   0.7489
 82   -0.0774   -0.5956   0.6006   0.9573   0.9573   0.9201   0.9695   0.7516   0.7516
 83   -0.0706   -0.5953   0.5995   0.9562   0.9562   0.9161   0.9696   0.757   0.7569
 84   -0.0598   -0.5863   0.5894   0.9573   0.9573   0.9181   0.9715   0.7586   0.7585
 85   -0.0621   -0.5838   0.5871   0.9537   0.9537   0.9181   0.9715   0.7586   0.7585
 86   -0.0489   -0.6083   0.6103   0.9567   0.9567   0.9161   0.9736   0.757   0.7611
 87   -0.05   -0.598   0.6001   0.9549   0.9549   0.9181   0.9715   0.7586   0.7585
 88   -0.0513   -0.5657   0.568   0.9555   0.9555   0.9181   0.9715   0.7586   0.7585
 89   -0.0555   -0.5756   0.5782   0.9573   0.9573   0.9201   0.9735   0.7603   0.7601
 90   -0.0512   -0.5514   0.5538   0.9567   0.9567   0.9201   0.9735   0.7646   0.7643
 91   -0.0476   -0.5649   0.5669   0.9572   0.9572   0.9201   0.9735   0.7646   0.7643
 92   -0.0579   -0.553   0.556   0.9573   0.9573   0.9161   0.9696   0.7699   0.7696
 93   -0.0629   -0.5566   0.5602   0.9567   0.9567   0.9181   0.9715   0.7716   0.7712
 94   -0.0571   -0.556   0.5589   0.9561   0.9561   0.9181   0.9715   0.7716   0.7712
 95   -0.0625   -0.5503   0.5539   0.9583   0.9583   0.9161   0.9736   0.7742   0.7738
 96   -0.0662   -0.5525   0.5564   0.9579   0.9579   0.9142   0.9757   0.7725   0.7764
 97   -0.0489   -0.5695   0.5716   0.9584   0.9584   0.9142   0.9757   0.7725   0.7764
 98   -0.0598   -0.5749   0.578   0.9621   0.9621   0.9142   0.9352   0.7725   0.7764
 99   -0.0594   -0.5591   0.5623   0.9633   0.9633   0.9142   0.9352   0.7725   0.7764
100   -0.0647   -0.5732   0.5768   0.9615   0.9615   0.9142   0.9352   0.7725   0.7764
101   -0.0584   -0.58   0.5829   0.962   0.962   0.9122   0.9374   0.7752   0.7789
102   -0.0558   -0.5689   0.5717   0.9614   0.9614   0.9122   0.9374   0.7752   0.7789
103   -0.0508   -0.5598   0.5621   0.9631   0.9631   0.9122   0.9374   0.7752   0.7789
104   -0.0592   -0.5767   0.5797   0.9633   0.9633   0.9122   0.9374   0.7752   0.7789
105   -0.0547   -0.5714   0.574   0.9662   0.9662   0.9122   0.9374   0.7752   0.7789
106   -0.0461   -0.5749   0.5768   0.965   0.965   0.9122   0.9374   0.7752   0.7789
107   -0.0515   -0.5699   0.5723   0.9662   0.9662   0.9142   0.9393   0.7768   0.7806
108   -0.0549   -0.5713   0.574   0.9644   0.9644   0.9142   0.9393   0.7768   0.7806
109   -0.0616   -0.5666   0.5699   0.9638   0.9638   0.9142   0.9393   0.7768   0.7806
110   -0.0568   -0.5712   0.574   0.9632   0.9632   0.9122   0.9374   0.7752   0.7789
111   -0.0456   -0.5791   0.5809   0.9657   0.9657   0.9142   0.9352   0.7768   0.7806
112   -0.0515   -0.5752   0.5775   0.9674   0.9674   0.9142   0.9352   0.7768   0.7806
113   -0.0656   -0.5617   0.5656   0.9661   0.9661   0.9122   0.9374   0.7794   0.7832
114   -0.0596   -0.5709   0.574   0.9692   0.9692   0.9122   0.9374   0.7794   0.7832
115   -0.0544   -0.5571   0.5598   0.968   0.968   0.9142   0.9393   0.7854   0.789
116   -0.0543   -0.5797   0.5822   0.968   0.968   0.9103   0.9355   0.7863   0.7899
117   -0.0528   -0.5781   0.5805   0.968   0.968   0.9122   0.9374   0.788   0.7916
118   -0.0506   -0.5718   0.574   0.9687   0.9687   0.9142   0.9393   0.7897   0.7932
119   -0.0442   -0.5843   0.586   0.9656   0.9656   0.9142   0.9393   0.7897   0.7932
120   -0.0586   -0.5877   0.5906   0.9668   0.9668   0.9099   0.9352   0.7897   0.789
121   -0.0401   -0.5836   0.585   0.9662   0.9662   0.9099   0.9312   0.7854   0.7848
122   -0.0532   -0.5908   0.5932   0.9673   0.9673   0.9099   0.9312   0.7854   0.7848
123   -0.0464   -0.5997   0.6014   0.9667   0.9667   0.9099   0.9312   0.7854   0.7848
124   -0.0389   -0.6089   0.6101   0.9645   0.9645   0.9099   0.9312   0.7854   0.7848
125   -0.0423   -0.6236   0.6251   0.9645   0.9645   0.9079   0.9293   0.7837   0.7832
126   -0.0276   -0.6304   0.631   0.9651   0.9651   0.9079   0.9293   0.7837   0.7832
127   -0.0211   -0.6179   0.6182   0.9639   0.9639   0.9079   0.9293   0.7837   0.7832
128   -0.0143   -0.6133   0.6135   0.9929   0.9929   0.9079   0.9293   0.788   0.7916
129   -0.0226   -0.6011   0.6015   0.9639   0.9639   0.9079   0.9333   0.788   0.7874
130   -0.0335   -0.6195   0.6204   0.9663   0.9663   0.9079   0.9333   0.788   0.7874
131   -0.026   -0.6073   0.6079   0.9663   0.9663   0.9079   0.9333   0.788   0.7874
132   -0.0318   -0.6153   0.6161   0.9679   0.9679   0.9079   0.9333   0.788   0.7874
133   -0.0236   -0.6101   0.6106   0.9661   0.9661   0.9079   0.9333   0.788   0.7874
134   -0.0241   -0.603   0.6035   0.9656   0.9656   0.9079   0.9333   0.788   0.7874
135   -0.0239   -0.6104   0.6109   0.9656   0.9656   0.9079   0.9333   0.788   0.7874
136   -0.0302   -0.6293   0.63   0.9657   0.9657   0.9079   0.9333   0.788   0.7874
137   -0.0297   -0.6149   0.6156   0.9674   0.9674   0.9079   0.9333   0.788   0.7874
138   -0.0311   -0.6242   0.6249   0.968   0.968   0.9099   0.9352   0.7897   0.789
139   -0.0275   -0.6052   0.6058   0.9668   0.9668   0.9118   0.9371   0.7914   0.7907
140   -0.0215   -0.6069   0.6072   0.9661   0.9661   0.906   0.9355   0.7949   0.7941
141   -0.0234   -0.5942   0.5947   0.9662   0.9662   0.9021   0.9398   0.8   0.7992
142   -0.0185   -0.6117   0.612   0.9663   0.9663   0.9002   0.9379   0.7983   0.7975
143   -0.0056   -0.6264   0.6265   0.9923   0.9923   0.9002   0.9379   0.8025   0.8058
144   -0.0067   -0.6493   0.6494   0.9953   0.9953   0.8964   0.9341   0.8034   0.8067
145   -0.0107   -0.6409   0.641   0.9645   0.9645   0.8964   0.9341   0.7992   0.7983
146   -0.0037   -0.6374   0.6375   0.9923   0.9923   0.8964   0.9341   0.8034   0.8067
147   0.008   -0.6478   0.6479   0.9982   0.9982   0.8964   0.9341   0.8034   0.8067
148   -0.0073   -0.6559   0.656   0.9959   0.9959   0.8983   0.936   0.8008   0.8042
149   -0.0132   -0.6518   0.6519   0.9628   0.9628   0.8983   0.936   0.7966   0.7958
150   -0.0063   -0.6635   0.6635   0.9935   0.9935   0.9002   0.9339   0.7983   0.8017
151   -0.0085   -0.66   0.6601   0.9923   0.9923   0.9021   0.9357   0.7957   0.7992
152   -0.0018   -0.6541   0.6541   0.9941   0.9941   0.9041   0.9336   0.7932   0.7966
153   -0.0064   -0.6586   0.6586   0.9947   0.9947   0.9041   0.9336   0.7932   0.7966
154   -0.0095   -0.6818   0.6819   0.9491   0.9491   0.9041   0.9336   0.7207   0.7212
155   -0.0105   -0.6698   0.6698   0.9627   0.9627   0.9041   0.9336   0.7889   0.7883
156   -0.0084   -0.6755   0.6756   0.9941   0.9941   0.9041   0.9336   0.7932   0.7966
157   -0.016   -0.6709   0.6711   0.9639   0.9639   0.9041   0.9336   0.7889   0.7883
158   -0.0058   -0.6605   0.6605   0.9917   0.9917   0.9041   0.9336   0.7932   0.7966
159   -0.0016   -0.6722   0.6722   0.9947   0.9947   0.9041   0.9336   0.7932   0.7966
160   -0.0016   -0.6796   0.6796   0.9947   0.9947   0.9041   0.9336   0.7932   0.7966
161   0.0029   -0.6702   0.6702   0.9947   0.9947   0.906   0.9355   0.7949   0.7983
162   0.0101   -0.6769   0.6769   0.9929   0.9929   0.906   0.9355   0.7949   0.7983
163   0.0058   -0.6872   0.6873   0.9686   0.9686   0.906   0.9355   0.7222   0.7269
164   0.0117   -0.6897   0.6898   0.9674   0.9674   0.906   0.9355   0.7222   0.7269
165   0.0127   -0.6853   0.6854   0.9686   0.9686   0.9079   0.9374   0.7238   0.7284
166   0.0147   -0.688   0.6882   0.9686   0.9686   0.9079   0.9374   0.7238   0.7284
167   0.0081   -0.698   0.6981   0.9685   0.9685   0.9079   0.9374   0.7238   0.7284
168   0.0138   -0.6949   0.695   0.9686   0.9686   0.9099   0.9393   0.721   0.7257
169   0.0103   -0.7001   0.7002   0.9686   0.9686   0.9075   0.9371   0.7226   0.723
170   0.0087   -0.6965   0.6966   0.9674   0.9674   0.9075   0.9371   0.7226   0.723
171   0.0093   -0.6866   0.6867   0.9676   0.9676   0.8879   0.9146   0.7198   0.7203
172   0.0155   -0.68   0.6802   0.9701   0.9701   0.8898   0.9124   0.7171   0.7176
173   -1.0   -1.0   -1.0   -1.0   -1.0   0.8898   0.9124   -1.0   -1.0
174   -1.0   -1.0   -1.0   -1.0   -1.0   0.8879   0.9146   -1.0   -1.0
175   -1.0   -1.0   -1.0   -1.0   -1.0   0.886   0.9128   -1.0   -1.0
176   -1.0   -1.0   -1.0   -1.0   -1.0   0.886   0.9128   -1.0   -1.0
177   -1.0   -1.0   -1.0   -1.0   -1.0   0.8879   0.9146   -1.0   -1.0
178   -1.0   -1.0   -1.0   -1.0   -1.0   0.9099   0.9393   -1.0   -1.0
179   -1.0   -1.0   -1.0   -1.0   -1.0   0.9099   0.9433   -1.0   -1.0
180   -1.0   -1.0   -1.0   -1.0   -1.0   0.9118   0.9452   -1.0   -1.0
181   -1.0   -1.0   -1.0   -1.0   -1.0   0.8879   0.9106   -1.0   -1.0
182   -1.0   -1.0   -1.0   -1.0   -1.0   0.8879   0.9106   -1.0   -1.0
183   -1.0   -1.0   -1.0   -1.0   -1.0   0.8918   0.9143   -1.0   -1.0
184   -1.0   -1.0   -1.0   -1.0   -1.0   0.8898   0.9124   -1.0   -1.0
185   -1.0   -1.0   -1.0   -1.0   -1.0   0.8898   0.9124   -1.0   -1.0
186   -1.0   -1.0   -1.0   -1.0   -1.0   0.8918   0.9143   -1.0   -1.0
187   -1.0   -1.0   -1.0   -1.0   -1.0   0.8918   0.9143   -1.0   -1.0
188   -1.0   -1.0   -1.0   -1.0   -1.0   0.8918   0.9143   -1.0   -1.0
189   -1.0   -1.0   -1.0   -1.0   -1.0   0.8918   0.9143   -1.0   -1.0
190   -1.0   -1.0   -1.0   -1.0   -1.0   0.8918   0.9143   -1.0   -1.0
191   -1.0   -1.0   -1.0   -1.0   -1.0   0.8894   0.9121   -1.0   -1.0
192   -1.0   -1.0   -1.0   -1.0   -1.0   0.8894   0.9121   -1.0   -1.0
193   -1.0   -1.0   -1.0   -1.0   -1.0   0.8894   0.9121   -1.0   -1.0
194   0.044   -0.7078   0.7092   0.9713   0.9713   0.8894   0.9121   0.7245   0.7249
195   0.0422   -0.7039   0.7052   0.9736   0.9736   0.8918   0.9143   0.7273   0.7277
196   0.0397   -0.7024   0.7036   0.9751   0.9751   0.8898   0.9124   0.73   0.7304
197   0.0413   -0.6951   0.6963   0.9769   0.9769   0.8898   0.9124   0.73   0.7304
198   0.0428   -0.6937   0.695   0.9762   0.9762   0.8898   0.9124   0.73   0.7304
199   0.0464   -0.691   0.6926   0.9751   0.9751   0.8898   0.9124   0.73   0.7304
200   0.0531   -0.6964   0.6985   0.9775   0.9775   0.8898   0.9124   0.73   0.7304
201   0.0589   -0.7006   0.703   0.9792   0.9792   0.8898   0.9124   0.73   0.7304
202   0.0627   -0.7047   0.7075   0.9792   0.9792   0.8918   0.9143   0.7316   0.7319
203   0.0685   -0.6955   0.6989   0.978   0.978   0.8937   0.9162   0.7289   0.7292
204   0.0733   -0.6942   0.6981   0.9768   0.9768   0.8937   0.9162   0.7289   0.7292
205   0.0758   -0.6958   0.7   0.9774   0.9774   0.8957   0.918   0.7304   0.7308
206   0.0762   -0.6925   0.6967   0.9768   0.9768   0.8976   0.9199   0.732   0.7323
207   0.071   -0.6944   0.698   0.978   0.978   0.8996   0.9218   0.7336   0.7339
208   0.0744   -0.6935   0.6975   0.9792   0.9792   0.8972   0.9196   0.7309   0.7312
209   0.0738   -0.6862   0.6901   0.978   0.978   0.9051   0.9272   0.7373   0.7375
210   0.0767   -0.6815   0.6858   0.9786   0.9786   0.9051   0.9272   0.7373   0.7375
211   0.0729   -0.6831   0.687   0.9774   0.9774   0.9091   0.9269   0.7406   0.7407
212   0.0753   -0.6946   0.6987   0.981   0.981   0.9111   0.9289   0.7422   0.7424
213   0.0759   -0.6888   0.693   0.9792   0.9792   0.9131   0.9308   0.7439   0.744
214   0.0669   -0.6841   0.6874   0.9786   0.9786   0.9156   0.9331   0.7511   0.7511
215   0.0745   -0.6772   0.6813   0.9786   0.9786   0.9156   0.9331   0.7511   0.7511
216   0.07   -0.6658   0.6695   0.9792   0.9792   0.9156   0.9331   0.7511   0.7511
217   0.0749   -0.6691   0.6732   0.9792   0.9792   0.9156   0.9331   0.7511   0.7511
218   0.0786   -0.6644   0.669   0.9805   0.9805   0.9156   0.9331   0.7511   0.7511
219   0.0748   -0.6531   0.6574   0.9799   0.9799   0.9156   0.9331   0.7511   0.7511
220   0.0847   -0.6701   0.6754   0.9793   0.9793   0.9156   0.9331   0.7511   0.7511
221   0.0861   -0.6799   0.6853   0.9834   0.9834   0.9156   0.9331   0.7511   0.7511
222   0.0954   -0.673   0.6798   0.9792   0.9792   0.9131   0.9308   0.7483   0.7484
223   0.1042   -0.6764   0.6844   0.9816   0.9816   0.9152   0.9328   0.7455   0.7456
224   0.0994   -0.6887   0.6958   0.9816   0.9816   0.9152   0.9328   0.7455   0.7456
225   0.0925   -0.6956   0.7018   0.981   0.981   0.9172   0.9305   0.7427   0.7429
226   0.0929   -0.6791   0.6854   0.9792   0.9792   0.9172   0.9305   0.7427   0.7429
227   0.0936   -0.677   0.6835   0.9804   0.9804   0.9152   0.9328   0.7455   0.7456
228   0.0797   -0.6642   0.669   0.9822   0.9822   0.9131   0.9308   0.7483   0.7484
229   0.0778   -0.65   0.6547   0.9804   0.9804   0.9075   0.9295   0.7621   0.7619
230   0.0776   -0.6397   0.6444   0.981   0.981   0.9055   0.9275   0.7648   0.7646
231   0.0833   -0.6558   0.661   0.9828   0.9828   0.9039   0.9259   0.7729   0.7725
232   0.0914   -0.6262   0.6328   0.9804   0.9804   0.9039   0.9259   0.7729   0.7725
233   0.0884   -0.6198   0.6261   0.9834   0.9834   0.898   0.9243   0.7809   0.7804
234   0.0917   -0.6141   0.6209   0.9829   0.9829   0.898   0.9243   0.7809   0.7804
235   0.0856   -0.6071   0.6131   0.9816   0.9816   0.8913   0.9139   0.7826   0.7821
236   0.0919   -0.5711   0.5784   0.9822   0.9822   0.8913   0.9139   0.7826   0.7821
237   0.093   -0.5497   0.5575   0.9792   0.9792   0.898   0.9202   0.7896   0.7889
238   0.0934   -0.5408   0.5488   0.9846   0.9846   0.8961   0.9184   0.7922   0.7915
239   0.1085   -0.5484   0.5591   0.9852   0.9852   0.8966   0.9228   0.7974   0.7966
240   0.112   -0.5282   0.54   0.984   0.984   0.898   0.9202   0.8026   0.8017
241   0.1141   -0.4991   0.5119   0.9828   0.9828   0.902   0.924   0.8105   0.8094
242   0.1223   -0.4699   0.4855   0.9846   0.9846   0.9099   0.9275   0.822   0.8207
243   0.1137   -0.4488   0.463   0.9828   0.9828   0.9159   0.9333   0.8274   0.8261
244   0.1034   -0.4263   0.4387   0.9846   0.9846   0.9139   0.9356   0.83   0.8286
245   0.0996   -0.3962   0.4086   0.9828   0.9828   0.9119   0.9336   0.837   0.8355
246   0.1077   -0.3563   0.3722   0.9828   0.9828   0.9059   0.9278   0.8446   0.843
247   0.1088   -0.3428   0.3596   0.9834   0.9834   0.9039   0.93   0.8472   0.8455
248   0.1115   -0.3347   0.3528   0.981   0.981   0.8932   0.9158   0.854   0.8522
249   0.111   -0.3393   0.357   0.9822   0.9822   0.8957   0.918   0.8565   0.8547
250   0.1103   -0.3278   0.3459   0.9834   0.9834   0.898   0.9202   0.859   0.8571
251   0.1103   -0.336   0.3536   0.984   0.984   0.9004   0.9224   0.8615   0.8596
252   0.1078   -0.3296   0.3468   0.9864   0.9864   0.8985   0.9246   0.8639   0.862
253   0.092   -0.3406   0.3529   0.9858   0.9858   0.9004   0.9224   0.8615   0.8596
254   0.1035   -0.3452   0.3603   0.9858   0.9858   0.8942   0.9165   0.8553   0.8535
255   0.0969   -0.3757   0.388   0.9864   0.9864   0.8918   0.9143   0.8528   0.8511
256   0.0973   -0.3874   0.3994   0.9834   0.9834   0.902   0.9281   0.8453   0.8437
257   0.1096   -0.3992   0.414   0.984   0.984   0.9079   0.9298   0.8377   0.8362
258   0.118   -0.4353   0.4511   0.984   0.984   0.9099   0.9317   0.8308   0.8294
259   0.118   -0.4645   0.4793   0.9858   0.9858   0.9119   0.9336   0.8238   0.8225
260   0.1229   -0.4659   0.4818   0.9846   0.9846   0.9099   0.9358   0.822   0.8207
261   0.1276   -0.4585   0.4759   0.987   0.987   0.9079   0.9339   0.8202   0.819
262   0.1264   -0.4849   0.5011   0.987   0.987   0.9039   0.93   0.8166   0.8155
263   0.1268   -0.4939   0.5099   0.9881   0.9881   0.902   0.9281   0.8148   0.8137
264   0.1375   -0.4948   0.5136   0.9852   0.9852   0.9   0.9262   0.813   0.812
265   0.1298   -0.4863   0.5033   0.9858   0.9858   0.898   0.9243   0.8113   0.8102
266   0.1226   -0.5157   0.5301   0.987   0.987   0.898   0.9243   0.8113   0.8102
267   0.1249   -0.5282   0.5427   0.9864   0.9864   0.898   0.9243   0.8113   0.8102
268   0.1173   -0.5302   0.543   0.987   0.987   0.898   0.9243   0.8113   0.8102
269   0.1267   -0.5276   0.5426   0.9876   0.9876   0.902   0.9281   0.8105   0.8094
270   0.1143   -0.5523   0.564   0.9876   0.9876   0.8996   0.9259   0.8079   0.8069
271   0.1102   -0.569   0.5796   0.9911   0.9911   0.8991   0.9256   0.807   0.806
272   0.1136   -0.545   0.5568   0.9888   0.9888   0.9031   0.9212   0.8018   0.8009
273   0.1189   -0.5599   0.5724   0.9888   0.9888   0.9031   0.9212   0.8018   0.8009
274   0.1034   -0.5757   0.5849   0.9887   0.9887   0.9067   0.9247   0.8044   0.8035
275   0.1036   -0.5835   0.5926   0.9882   0.9882   0.9038   0.9179   0.7964   0.7956
276   0.1135   -0.6119   0.6223   0.9882   0.9882   0.8939   0.9087   0.7946   0.7894
277   0.1091   -0.6192   0.6287   0.9876   0.9876   0.8955   0.9017   0.7909   0.7857
278   0.1246   -0.6307   0.6429   0.9887   0.9887   0.9037   0.8966   0.7844   0.7793
