# 2017-01-13 12:52:22.905976
# CT_x9
#  path: ../data_final/CT_x9/
#  thresholds: -444.68, 332.0
#  dc-average: 0.973709795561
#  dc-average (opti): 0.973709795561
# MR_x9
#  path: ../data_final/MR_x9/
#  thresholds: 690.36, 2078.0
#  dc-average: 0.877861343154
#  dc-average (opti): 0.901612864937
#  dc-average (CT-COM): 0.754198594615
#  dc-average (CT-COM, opti): 0.754538977597
# 
sliceNumber   warp_X   warp_Y   warpMagnitude   dc_CT   dc_CT_opti   dc_MR   dc_MR_opti   dc_MR_CT-COM   dc_MR_opti_CT-COM
 58   -0.0766   -0.6891   0.6934   0.9557   0.9557   0.8939   0.9429   0.7045   0.7115
 59   -0.0767   -0.6964   0.7006   0.9579   0.9579   0.8939   0.9429   0.7045   0.7115
 60   -0.0695   -0.6957   0.6991   0.9568   0.9568   0.8821   0.8889   0.7072   0.7138
 61   -0.0784   -0.6935   0.698   0.9579   0.9579   0.8889   0.8953   0.7126   0.7184
 62   -0.0887   -0.6899   0.6956   0.9568   0.9568   0.8923   0.8986   0.7154   0.7208
 63   -0.0846   -0.6693   0.6746   0.9548   0.9548   0.9042   0.9097   0.728   0.7314
 64   -0.0749   -0.6529   0.6572   0.9558   0.9558   0.9042   0.9097   0.728   0.7314
 65   -0.0736   -0.6392   0.6434   0.9566   0.9566   0.9008   0.9137   0.7328   0.7355
 66   -0.0714   -0.6454   0.6493   0.9569   0.9569   0.9008   0.9137   0.7328   0.7355
 67   -0.0552   -0.6574   0.6597   0.9577   0.9577   0.9042   0.917   0.7356   0.7379
 68   -0.063   -0.6508   0.6538   0.9577   0.9577   0.9042   0.917   0.7356   0.7379
 69   -0.0679   -0.6395   0.643   0.962   0.962   0.9077   0.9203   0.7385   0.7403
 70   -0.0611   -0.6282   0.6312   0.9641   0.9641   0.9077   0.9203   0.7385   0.7403
 71   -0.0681   -0.6172   0.621   0.9609   0.9609   0.9154   0.9275   0.7385   0.7468
 72   -0.0668   -0.6273   0.6308   0.9621   0.9621   0.9189   0.9309   0.7413   0.7492
 73   -0.0607   -0.6225   0.6254   0.9641   0.9641   0.9189   0.9309   0.7413   0.7492
 74   -0.0659   -0.6103   0.6138   0.961   0.961   0.9195   0.9386   0.7433   0.7573
 75   -0.0721   -0.6076   0.6119   0.9609   0.9609   0.9195   0.9386   0.7433   0.7573
 76   -0.0766   -0.5927   0.5976   0.9621   0.9621   0.9195   0.9386   0.7433   0.7573
 77   -0.0714   -0.5813   0.5857   0.9652   0.9652   0.9195   0.9386   0.7433   0.7573
 78   -0.0731   -0.6002   0.6046   0.9663   0.9663   0.9195   0.9386   0.7433   0.7573
 79   -0.0815   -0.6075   0.613   0.9652   0.9652   0.916   0.9424   0.7481   0.7613
 80   -0.0683   -0.6024   0.6062   0.9652   0.9652   0.916   0.9424   0.7481   0.7613
 81   -0.0816   -0.5919   0.5975   0.9684   0.9684   0.916   0.9424   0.7481   0.7613
 82   -0.0752   -0.5949   0.5997   0.9684   0.9684   0.9125   0.9462   0.7529   0.7653
 83   -0.0686   -0.5946   0.5986   0.9673   0.9673   0.9125   0.9462   0.7529   0.7653
 84   -0.0578   -0.5851   0.588   0.9684   0.9684   0.916   0.9496   0.7557   0.7677
 85   -0.0605   -0.5829   0.586   0.9673   0.9673   0.916   0.9496   0.7557   0.7677
 86   -0.0472   -0.6074   0.6092   0.9716   0.9716   0.9195   0.9531   0.7586   0.7702
 87   -0.0487   -0.5977   0.5997   0.9715   0.9715   0.9195   0.9531   0.7586   0.7702
 88   -0.0507   -0.5639   0.5662   0.9716   0.9716   0.916   0.9496   0.7634   0.7742
 89   -0.0551   -0.5747   0.5773   0.9715   0.9715   0.916   0.9496   0.7634   0.7742
 90   -0.052   -0.5511   0.5535   0.9694   0.9694   0.9195   0.9531   0.7663   0.7767
 91   -0.0473   -0.5653   0.5673   0.9673   0.9673   0.9195   0.9531   0.7663   0.7767
 92   -0.0581   -0.5537   0.5567   0.9715   0.9715   0.916   0.9568   0.771   0.7806
 93   -0.0626   -0.5563   0.5598   0.9704   0.9704   0.9125   0.9534   0.7757   0.7846
 94   -0.0573   -0.5554   0.5584   0.9715   0.9715   0.9091   0.95   0.7803   0.7885
 95   -0.0631   -0.5517   0.5553   0.9693   0.9693   0.9132   0.9537   0.7849   0.7923
 96   -0.0663   -0.5531   0.5571   0.9694   0.9694   0.9098   0.9574   0.7895   0.7962
 97   -0.049   -0.5684   0.5705   0.9715   0.9715   0.9098   0.9574   0.7895   0.7962
 98   -0.0606   -0.5739   0.5771   0.9714   0.9714   0.9098   0.9574   0.7895   0.7962
 99   -0.0605   -0.5583   0.5615   0.9736   0.9736   0.9098   0.9574   0.7895   0.7962
100   -0.0669   -0.5726   0.5765   0.9705   0.9705   0.9098   0.9574   0.7895   0.7962
101   -0.0601   -0.5801   0.5832   0.9714   0.9714   0.9098   0.9574   0.7895   0.7962
102   -0.0577   -0.5692   0.5721   0.9714   0.9714   0.9098   0.9574   0.7895   0.7962
103   -0.0519   -0.559   0.5614   0.9704   0.9704   0.9098   0.9574   0.7895   0.7962
104   -0.0615   -0.5754   0.5787   0.9768   0.9768   0.9132   0.9609   0.7925   0.7987
105   -0.0556   -0.5698   0.5726   0.9735   0.9735   0.9091   0.9571   0.7879   0.7949
106   -0.047   -0.573   0.5749   0.9778   0.9778   0.9091   0.9571   0.7879   0.7949
107   -0.0531   -0.5691   0.5715   0.9747   0.9747   0.9091   0.9571   0.7879   0.7949
108   -0.0561   -0.5701   0.5729   0.981   0.981   0.9091   0.9571   0.7879   0.7949
109   -0.0625   -0.5649   0.5683   0.9768   0.9768   0.9132   0.9609   0.7925   0.7987
110   -0.0576   -0.5691   0.572   0.9778   0.9778   0.9132   0.9609   0.7925   0.7987
111   -0.0469   -0.5773   0.5792   0.9779   0.9779   0.9132   0.9609   0.7925   0.7987
112   -0.0526   -0.5732   0.5756   0.9768   0.9768   0.9132   0.9609   0.7925   0.7987
113   -0.067   -0.5598   0.5638   0.9778   0.9778   0.9098   0.9574   0.797   0.8025
114   -0.0616   -0.5692   0.5725   0.9778   0.9778   0.9098   0.9574   0.797   0.8025
115   -0.0553   -0.5555   0.5583   0.9811   0.9811   0.9064   0.9541   0.8015   0.8063
116   -0.0545   -0.5777   0.5803   0.9801   0.9801   0.9064   0.9541   0.8015   0.8063
117   -0.0528   -0.5761   0.5785   0.9821   0.9821   0.9064   0.9541   0.8015   0.8063
118   -0.0503   -0.5696   0.5718   0.9822   0.9822   0.903   0.9507   0.806   0.8101
119   -0.0441   -0.5828   0.5845   0.98   0.98   0.8989   0.947   0.8015   0.8063
120   -0.0585   -0.5862   0.5891   0.9832   0.9832   0.903   0.9507   0.806   0.8101
121   -0.0394   -0.5813   0.5826   0.9799   0.9799   0.903   0.9507   0.806   0.8101
122   -0.0539   -0.5889   0.5914   0.9821   0.9821   0.8989   0.947   0.8015   0.8063
123   -0.0465   -0.5979   0.5997   0.9799   0.9799   0.903   0.9507   0.806   0.8101
124   -0.0387   -0.6071   0.6083   0.9811   0.9811   0.903   0.9507   0.806   0.8101
125   -0.0414   -0.6227   0.6241   0.9864   0.9864   0.8996   0.9474   0.803   0.8076
126   -0.0272   -0.6296   0.6302   0.9863   0.9863   0.8996   0.9474   0.803   0.8076
127   -0.0205   -0.6166   0.6169   0.9874   0.9874   0.8996   0.9544   0.7955   0.8076
128   -0.0131   -0.6118   0.6119   0.9863   0.9863   0.8996   0.9544   0.7955   0.8076
129   -0.0228   -0.5993   0.5998   0.9874   0.9874   0.8996   0.9544   0.7955   0.8076
130   -0.0325   -0.6181   0.619   0.9885   0.9885   0.8996   0.9544   0.7955   0.8076
131   -0.0252   -0.6061   0.6067   0.9853   0.9853   0.8996   0.9544   0.7955   0.8076
132   -0.0313   -0.6138   0.6146   0.9853   0.9853   0.8996   0.9544   0.7955   0.8076
133   -0.0245   -0.6091   0.6096   0.9863   0.9863   0.8963   0.951   0.8   0.8113
134   -0.0234   -0.601   0.6015   0.9863   0.9863   0.8963   0.951   0.8   0.8113
135   -0.0224   -0.6085   0.6089   0.9874   0.9874   0.8963   0.951   0.8   0.8113
136   -0.0289   -0.6278   0.6285   0.9863   0.9863   0.8996   0.9544   0.803   0.8139
137   -0.0283   -0.613   0.6137   0.9874   0.9874   0.8996   0.9544   0.803   0.8139
138   -0.0304   -0.6228   0.6235   0.9884   0.9884   0.8996   0.9544   0.803   0.8139
139   -0.0268   -0.603   0.6036   0.9863   0.9863   0.8996   0.9544   0.803   0.8139
140   -0.0202   -0.604   0.6043   0.9885   0.9885   0.8996   0.9544   0.803   0.8139
141   -0.0229   -0.5919   0.5924   0.9874   0.9874   0.8963   0.951   0.8   0.8113
142   -0.0169   -0.61   0.6102   0.9884   0.9884   0.8963   0.951   0.8   0.8113
143   -0.0043   -0.6253   0.6254   0.9842   0.9842   0.8963   0.951   0.8   0.8113
144   -0.0043   -0.6486   0.6486   0.9863   0.9863   0.8963   0.951   0.8   0.8113
145   -0.0091   -0.6394   0.6395   0.9874   0.9874   0.8963   0.951   0.8   0.8113
146   -0.003   -0.6358   0.6358   0.9821   0.9821   0.8963   0.951   0.8   0.8113
147   0.0098   -0.6464   0.6465   0.9842   0.9842   0.8963   0.951   0.8   0.8113
148   -0.0059   -0.6549   0.6549   0.9853   0.9853   0.8963   0.951   0.8   0.8113
149   -0.012   -0.651   0.6511   0.9864   0.9864   0.8963   0.951   0.8   0.8113
150   -0.0058   -0.6622   0.6623   0.9864   0.9864   0.8963   0.951   0.8   0.8113
151   -0.0083   -0.6589   0.659   0.9853   0.9853   0.8963   0.951   0.8   0.8113
152   -0.001   -0.6528   0.6528   0.9853   0.9853   0.8963   0.951   0.8   0.8113
153   -0.005   -0.6579   0.658   0.9863   0.9863   0.8963   0.951   0.8   0.8113
154   -0.0081   -0.6814   0.6815   0.9484   0.9484   0.8963   0.951   0.7037   0.7296
155   -0.0094   -0.6691   0.6691   0.9853   0.9853   0.8963   0.951   0.8   0.8113
156   -0.0067   -0.675   0.675   0.9853   0.9853   0.8963   0.951   0.8   0.8113
157   -0.0146   -0.67   0.6701   0.9842   0.9842   0.8963   0.951   0.8   0.8113
158   -0.0058   -0.6591   0.6591   0.9863   0.9863   0.8963   0.951   0.8   0.8113
159   -0.001   -0.6713   0.6713   0.9842   0.9842   0.8963   0.951   0.8   0.8113
160   -0.0005   -0.6784   0.6784   0.9831   0.9831   0.8963   0.951   0.8   0.8113
161   0.0034   -0.6689   0.6689   0.9842   0.9842   0.8963   0.951   0.8   0.8113
162   0.0106   -0.6756   0.6757   0.9842   0.9842   0.8963   0.951   0.8   0.8113
163   0.0064   -0.6862   0.6862   0.9516   0.9516   0.8963   0.951   0.7037   0.7296
164   0.0119   -0.6887   0.6889   0.9517   0.9517   0.8963   0.951   0.7037   0.7296
165   0.0123   -0.6843   0.6844   0.9527   0.9527   0.8963   0.951   0.7037   0.7296
166   0.0137   -0.6873   0.6874   0.9517   0.9517   0.8963   0.951   0.7037   0.7296
167   0.0076   -0.6974   0.6974   0.9527   0.9527   0.8963   0.951   0.7037   0.7296
168   0.0137   -0.6939   0.694   0.9538   0.9538   0.8996   0.9544   0.6989   0.7256
