# 2017-01-13 18:03:14.757318
# CT_x9
#  path: ../data_final/CT_x9/
#  thresholds: -444.68, 332.0
#  dc-average: 0.9737 (radius = 4)
#  dc-average (opti): 0.9737 (bestRadius: 3.98)
# MR_x9
#  path: ../data_final/MR_x9/
#  thresholds: 690.36, 2078.0
#  dc-average: 0.8779 (radius = 2)
#  dc-average (opti): 0.9016 (bestRadius: 2.2)
#  dc-average (CT-COM): 0.7542
#  dc-average (CT-COM, opti): 0.7656
# 
# sliceNr  warp_X  warp_Y  warpMagnitude  dc_CT  dc_CT_opti  dc_MR  dc_MR_opti  dc_MR_CT-COM  dc_MR_opti_CT-COM
 49     -0.0758     -0.7456     0.7495     0.9536     0.9536     0.9077     0.9348     0.6846     0.6972
 50     -0.0807     -0.7422     0.7466     0.9578     0.9578     0.9077     0.9348     0.6846     0.6972
 51     -0.0746     -0.7329     0.7367     0.9528     0.9528     0.9112     0.9382     0.6873     0.6996
 52     -0.0597     -0.7243     0.7267     0.9548     0.9548     0.9147     0.9416     0.6899     0.7021
 53     -0.0759     -0.725     0.729     0.9526     0.9526     0.9147     0.9416     0.6899     0.7021
 54     -0.0751     -0.7257     0.7296     0.9557     0.9557     0.9112     0.9455     0.695     0.7067
 55     -0.0717     -0.7057     0.7094     0.9538     0.9538     0.9042     0.9386     0.705     0.7158
 56     -0.0906     -0.724     0.7297     0.9568     0.9568     0.9042     0.9386     0.705     0.7158
 57     -0.08     -0.6973     0.7019     0.9557     0.9557     0.9008     0.9424     0.7023     0.7133
 58     -0.0766     -0.6891     0.6934     0.9557     0.9557     0.8939     0.9429     0.7045     0.7153
 59     -0.0767     -0.6964     0.7006     0.9579     0.9579     0.8939     0.9429     0.7045     0.7153
 60     -0.0695     -0.6957     0.6991     0.9568     0.9568     0.8821     0.8889     0.7072     0.7178
 61     -0.0784     -0.6935     0.698     0.9579     0.9579     0.8889     0.8953     0.7126     0.7228
 62     -0.0887     -0.6899     0.6956     0.9568     0.9568     0.8923     0.8986     0.7154     0.7254
 63     -0.0846     -0.6693     0.6746     0.9548     0.9548     0.9042     0.9097     0.728     0.7368
 64     -0.0749     -0.6529     0.6572     0.9558     0.9558     0.9042     0.9097     0.728     0.7368
 65     -0.0736     -0.6392     0.6434     0.9566     0.9566     0.9008     0.9137     0.7328     0.7413
 66     -0.0714     -0.6454     0.6493     0.9569     0.9569     0.9008     0.9137     0.7328     0.7413
 67     -0.0552     -0.6574     0.6597     0.9577     0.9577     0.9042     0.917     0.7356     0.7439
 68     -0.063     -0.6508     0.6538     0.9577     0.9577     0.9042     0.917     0.7356     0.7439
 69     -0.0679     -0.6395     0.643     0.962     0.962     0.9077     0.9203     0.7385     0.7465
 70     -0.0611     -0.6282     0.6312     0.9641     0.9641     0.9077     0.9203     0.7385     0.7465
 71     -0.0681     -0.6172     0.621     0.9609     0.9609     0.9154     0.9275     0.7385     0.7535
 72     -0.0668     -0.6273     0.6308     0.9621     0.9621     0.9189     0.9309     0.7413     0.7562
 73     -0.0607     -0.6225     0.6254     0.9641     0.9641     0.9189     0.9309     0.7413     0.7562
 74     -0.0659     -0.6103     0.6138     0.961     0.961     0.9195     0.9386     0.7433     0.7649
 75     -0.0721     -0.6076     0.6119     0.9609     0.9609     0.9195     0.9386     0.7433     0.7649
 76     -0.0766     -0.5927     0.5976     0.9621     0.9621     0.9195     0.9386     0.7433     0.7649
 77     -0.0714     -0.5813     0.5857     0.9652     0.9652     0.9195     0.9386     0.7433     0.7649
 78     -0.0731     -0.6002     0.6046     0.9663     0.9663     0.9195     0.9386     0.7433     0.7649
 79     -0.0815     -0.6075     0.613     0.9652     0.9652     0.916     0.9424     0.7481     0.7692
 80     -0.0683     -0.6024     0.6062     0.9652     0.9652     0.916     0.9424     0.7481     0.7692
 81     -0.0816     -0.5919     0.5975     0.9684     0.9684     0.916     0.9424     0.7481     0.7692
 82     -0.0752     -0.5949     0.5997     0.9684     0.9684     0.9125     0.9462     0.7529     0.7735
 83     -0.0686     -0.5946     0.5986     0.9673     0.9673     0.9125     0.9462     0.7529     0.7735
 84     -0.0578     -0.5851     0.588     0.9684     0.9684     0.916     0.9496     0.7557     0.7762
 85     -0.0605     -0.5829     0.586     0.9673     0.9673     0.916     0.9496     0.7557     0.7762
 86     -0.0472     -0.6074     0.6092     0.9716     0.9716     0.9195     0.9531     0.7586     0.7789
 87     -0.0487     -0.5977     0.5997     0.9715     0.9715     0.9195     0.9531     0.7586     0.7789
 88     -0.0507     -0.5639     0.5662     0.9716     0.9716     0.916     0.9496     0.7634     0.7832
 89     -0.0551     -0.5747     0.5773     0.9715     0.9715     0.916     0.9496     0.7634     0.7832
 90     -0.052     -0.5511     0.5535     0.9694     0.9694     0.9195     0.9531     0.7663     0.786
 91     -0.0473     -0.5653     0.5673     0.9673     0.9673     0.9195     0.9531     0.7663     0.786
 92     -0.0581     -0.5537     0.5567     0.9715     0.9715     0.916     0.9568     0.771     0.7902
 93     -0.0626     -0.5563     0.5598     0.9704     0.9704     0.9125     0.9534     0.7757     0.7944
 94     -0.0573     -0.5554     0.5584     0.9715     0.9715     0.9091     0.95     0.7803     0.7986
 95     -0.0631     -0.5517     0.5553     0.9693     0.9693     0.9132     0.9537     0.7849     0.8028
 96     -0.0663     -0.5531     0.5571     0.9694     0.9694     0.9098     0.9574     0.7895     0.8069
 97     -0.049     -0.5684     0.5705     0.9715     0.9715     0.9098     0.9574     0.7895     0.8069
 98     -0.0606     -0.5739     0.5771     0.9714     0.9714     0.9098     0.9574     0.7895     0.8069
 99     -0.0605     -0.5583     0.5615     0.9736     0.9736     0.9098     0.9574     0.7895     0.8069
100     -0.0669     -0.5726     0.5765     0.9705     0.9705     0.9098     0.9574     0.7895     0.8069
101     -0.0601     -0.5801     0.5832     0.9714     0.9714     0.9098     0.9574     0.7895     0.8069
102     -0.0577     -0.5692     0.5721     0.9714     0.9714     0.9098     0.9574     0.7895     0.8069
103     -0.0519     -0.559     0.5614     0.9704     0.9704     0.9098     0.9574     0.7895     0.8069
104     -0.0615     -0.5754     0.5787     0.9768     0.9768     0.9132     0.9609     0.7925     0.8097
105     -0.0556     -0.5698     0.5726     0.9735     0.9735     0.9091     0.9571     0.7879     0.8056
106     -0.047     -0.573     0.5749     0.9778     0.9778     0.9091     0.9571     0.7879     0.8056
107     -0.0531     -0.5691     0.5715     0.9747     0.9747     0.9091     0.9571     0.7879     0.8056
108     -0.0561     -0.5701     0.5729     0.981     0.981     0.9091     0.9571     0.7879     0.8056
109     -0.0625     -0.5649     0.5683     0.9768     0.9768     0.9132     0.9609     0.7925     0.8097
110     -0.0576     -0.5691     0.572     0.9778     0.9778     0.9132     0.9609     0.7925     0.8097
111     -0.0469     -0.5773     0.5792     0.9779     0.9779     0.9132     0.9609     0.7925     0.8097
112     -0.0526     -0.5732     0.5756     0.9768     0.9768     0.9132     0.9609     0.7925     0.8097
113     -0.067     -0.5598     0.5638     0.9778     0.9778     0.9098     0.9574     0.797     0.8138
114     -0.0616     -0.5692     0.5725     0.9778     0.9778     0.9098     0.9574     0.797     0.8138
115     -0.0553     -0.5555     0.5583     0.9811     0.9811     0.9064     0.9541     0.8015     0.8179
116     -0.0545     -0.5777     0.5803     0.9801     0.9801     0.9064     0.9541     0.8015     0.8179
117     -0.0528     -0.5761     0.5785     0.9821     0.9821     0.9064     0.9541     0.8015     0.8179
118     -0.0503     -0.5696     0.5718     0.9822     0.9822     0.903     0.9507     0.806     0.8219
119     -0.0441     -0.5828     0.5845     0.98     0.98     0.8989     0.947     0.8015     0.8179
120     -0.0585     -0.5862     0.5891     0.9832     0.9832     0.903     0.9507     0.806     0.8219
121     -0.0394     -0.5813     0.5826     0.9799     0.9799     0.903     0.9507     0.806     0.8219
122     -0.0539     -0.5889     0.5914     0.9821     0.9821     0.8989     0.947     0.8015     0.8179
123     -0.0465     -0.5979     0.5997     0.9799     0.9799     0.903     0.9507     0.806     0.8219
124     -0.0387     -0.6071     0.6083     0.9811     0.9811     0.903     0.9507     0.806     0.8219
125     -0.0414     -0.6227     0.6241     0.9864     0.9864     0.8996     0.9474     0.803     0.8191
126     -0.0272     -0.6296     0.6302     0.9863     0.9863     0.8996     0.9474     0.803     0.8191
127     -0.0205     -0.6166     0.6169     0.9874     0.9874     0.8996     0.9544     0.7955     0.8123
128     -0.0131     -0.6118     0.6119     0.9863     0.9863     0.8996     0.9544     0.7955     0.8123
129     -0.0228     -0.5993     0.5998     0.9874     0.9874     0.8996     0.9544     0.7955     0.8123
130     -0.0325     -0.6181     0.619     0.9885     0.9885     0.8996     0.9544     0.7955     0.8123
131     -0.0252     -0.6061     0.6067     0.9853     0.9853     0.8996     0.9544     0.7955     0.8123
132     -0.0313     -0.6138     0.6146     0.9853     0.9853     0.8996     0.9544     0.7955     0.8123
133     -0.0245     -0.6091     0.6096     0.9863     0.9863     0.8963     0.951     0.8     0.8163
134     -0.0234     -0.601     0.6015     0.9863     0.9863     0.8963     0.951     0.8     0.8163
135     -0.0224     -0.6085     0.6089     0.9874     0.9874     0.8963     0.951     0.8     0.8163
136     -0.0289     -0.6278     0.6285     0.9863     0.9863     0.8996     0.9544     0.803     0.8191
137     -0.0283     -0.613     0.6137     0.9874     0.9874     0.8996     0.9544     0.803     0.8191
138     -0.0304     -0.6228     0.6235     0.9884     0.9884     0.8996     0.9544     0.803     0.8191
139     -0.0268     -0.603     0.6036     0.9863     0.9863     0.8996     0.9544     0.803     0.8191
140     -0.0202     -0.604     0.6043     0.9885     0.9885     0.8996     0.9544     0.803     0.8191
141     -0.0229     -0.5919     0.5924     0.9874     0.9874     0.8963     0.951     0.8     0.8163
142     -0.0169     -0.61     0.6102     0.9884     0.9884     0.8963     0.951     0.8     0.8163
143     -0.0043     -0.6253     0.6254     0.9842     0.9842     0.8963     0.951     0.8     0.8163
144     -0.0043     -0.6486     0.6486     0.9863     0.9863     0.8963     0.951     0.8     0.8163
145     -0.0091     -0.6394     0.6395     0.9874     0.9874     0.8963     0.951     0.8     0.8163
146     -0.003     -0.6358     0.6358     0.9821     0.9821     0.8963     0.951     0.8     0.8163
147     0.0098     -0.6464     0.6465     0.9842     0.9842     0.8963     0.951     0.8     0.8163
148     -0.0059     -0.6549     0.6549     0.9853     0.9853     0.8963     0.951     0.8     0.8163
149     -0.012     -0.651     0.6511     0.9864     0.9864     0.8963     0.951     0.8     0.8163
150     -0.0058     -0.6622     0.6623     0.9864     0.9864     0.8963     0.951     0.8     0.8163
151     -0.0083     -0.6589     0.659     0.9853     0.9853     0.8963     0.951     0.8     0.8163
152     -0.001     -0.6528     0.6528     0.9853     0.9853     0.8963     0.951     0.8     0.8163
153     -0.005     -0.6579     0.658     0.9863     0.9863     0.8963     0.951     0.8     0.8163
154     -0.0081     -0.6814     0.6815     0.9484     0.9484     0.8963     0.951     0.7037     0.7279
155     -0.0094     -0.6691     0.6691     0.9853     0.9853     0.8963     0.951     0.8     0.8163
156     -0.0067     -0.675     0.675     0.9853     0.9853     0.8963     0.951     0.8     0.8163
157     -0.0146     -0.67     0.6701     0.9842     0.9842     0.8963     0.951     0.8     0.8163
158     -0.0058     -0.6591     0.6591     0.9863     0.9863     0.8963     0.951     0.8     0.8163
159     -0.001     -0.6713     0.6713     0.9842     0.9842     0.8963     0.951     0.8     0.8163
160     -0.0005     -0.6784     0.6784     0.9831     0.9831     0.8963     0.951     0.8     0.8163
161     0.0034     -0.6689     0.6689     0.9842     0.9842     0.8963     0.951     0.8     0.8163
162     0.0106     -0.6756     0.6757     0.9842     0.9842     0.8963     0.951     0.8     0.8163
163     0.0064     -0.6862     0.6862     0.9516     0.9516     0.8963     0.951     0.7037     0.7279
164     0.0119     -0.6887     0.6889     0.9517     0.9517     0.8963     0.951     0.7037     0.7279
165     0.0123     -0.6843     0.6844     0.9527     0.9527     0.8963     0.951     0.7037     0.7279
166     0.0137     -0.6873     0.6874     0.9517     0.9517     0.8963     0.951     0.7037     0.7279
167     0.0076     -0.6974     0.6974     0.9527     0.9527     0.8963     0.951     0.7037     0.7279
168     0.0137     -0.6939     0.694     0.9538     0.9538     0.8996     0.9544     0.6989     0.7235
169     0.0099     -0.6992     0.6993     0.9537     0.9537     0.8996     0.9544     0.6989     0.7235
170     0.0085     -0.696     0.6961     0.9517     0.9517     0.903     0.9577     0.7015     0.726
171     0.0103     -0.6864     0.6865     0.9517     0.9517     0.903     0.9577     0.7015     0.726
172     0.0176     -0.6795     0.6797     0.9521     0.9521     0.9064     0.9541     0.6966     0.7216
173     -1.0     -1.0     -1.0     -1.0     -1.0     0.903     0.9577     -1.0     -1.0
174     -1.0     -1.0     -1.0     -1.0     -1.0     0.903     0.9577     -1.0     -1.0
175     -1.0     -1.0     -1.0     -1.0     -1.0     0.8996     0.9544     -1.0     -1.0
176     -1.0     -1.0     -1.0     -1.0     -1.0     0.8996     0.9544     -1.0     -1.0
177     -1.0     -1.0     -1.0     -1.0     -1.0     0.8996     0.9544     -1.0     -1.0
178     -1.0     -1.0     -1.0     -1.0     -1.0     0.8996     0.9544     -1.0     -1.0
179     -1.0     -1.0     -1.0     -1.0     -1.0     0.8996     0.9544     -1.0     -1.0
180     -1.0     -1.0     -1.0     -1.0     -1.0     0.8996     0.9544     -1.0     -1.0
181     -1.0     -1.0     -1.0     -1.0     -1.0     0.903     0.9577     -1.0     -1.0
182     -1.0     -1.0     -1.0     -1.0     -1.0     0.903     0.9577     -1.0     -1.0
183     -1.0     -1.0     -1.0     -1.0     -1.0     0.8989     0.9541     -1.0     -1.0
184     -1.0     -1.0     -1.0     -1.0     -1.0     0.9023     0.9504     -1.0     -1.0
185     -1.0     -1.0     -1.0     -1.0     -1.0     0.9023     0.9504     -1.0     -1.0
186     -1.0     -1.0     -1.0     -1.0     -1.0     0.9023     0.9504     -1.0     -1.0
187     -1.0     -1.0     -1.0     -1.0     -1.0     0.9023     0.9504     -1.0     -1.0
188     -1.0     -1.0     -1.0     -1.0     -1.0     0.9057     0.9466     -1.0     -1.0
189     -1.0     -1.0     -1.0     -1.0     -1.0     0.9057     0.9466     -1.0     -1.0
190     -1.0     -1.0     -1.0     -1.0     -1.0     0.9057     0.9466     -1.0     -1.0
191     -1.0     -1.0     -1.0     -1.0     -1.0     0.9057     0.9466     -1.0     -1.0
192     -1.0     -1.0     -1.0     -1.0     -1.0     0.9057     0.9466     -1.0     -1.0
193     -1.0     -1.0     -1.0     -1.0     -1.0     0.9057     0.9466     -1.0     -1.0
194     0.0438     -0.708     0.7093     0.9551     0.9551     0.883     0.8968     0.7019     0.7197
195     0.0419     -0.7038     0.705     0.955     0.955     0.883     0.8968     0.7019     0.7197
196     0.0386     -0.7024     0.7035     0.9559     0.9559     0.883     0.8968     0.7019     0.7197
197     0.0397     -0.6954     0.6965     0.9559     0.9559     0.883     0.8968     0.7019     0.7197
198     0.041     -0.6936     0.6948     0.9579     0.9579     0.8906     0.9039     0.7094     0.7266
199     0.0446     -0.6907     0.6922     0.9579     0.9579     0.8947     0.9078     0.7143     0.731
200     0.0514     -0.6967     0.6986     0.9579     0.9579     0.8939     0.9071     0.7121     0.7292
201     0.0569     -0.7008     0.7031     0.9579     0.9579     0.8897     0.9032     0.7072     0.7247
202     0.0606     -0.7051     0.7077     0.9599     0.9599     0.8897     0.9032     0.7072     0.7247
203     0.0665     -0.696     0.6991     0.9589     0.9589     0.8897     0.9032     0.7072     0.7247
204     0.0715     -0.6945     0.6982     0.9588     0.9588     0.8931     0.8993     0.7023     0.7203
205     0.0739     -0.6965     0.7004     0.9599     0.9599     0.8931     0.8993     0.7023     0.7203
206     0.0741     -0.6929     0.6969     0.9599     0.9599     0.8931     0.8993     0.7023     0.7203
207     0.0684     -0.6949     0.6982     0.9599     0.9599     0.8966     0.9025     0.705     0.7228
208     0.0724     -0.6939     0.6977     0.9588     0.9588     0.8966     0.9025     0.705     0.7228
209     0.0722     -0.6868     0.6906     0.96     0.96     0.8966     0.9025     0.705     0.7228
210     0.0755     -0.682     0.6862     0.959     0.959     0.8966     0.9025     0.705     0.7228
211     0.0719     -0.6836     0.6874     0.961     0.961     0.8966     0.9025     0.705     0.7228
212     0.0743     -0.6952     0.6992     0.959     0.959     0.9     0.9058     0.7077     0.7254
213     0.0746     -0.6893     0.6934     0.961     0.961     0.8966     0.9097     0.7126     0.7298
214     0.0667     -0.6845     0.6878     0.9589     0.9589     0.9008     0.9137     0.7176     0.7343
215     0.0738     -0.677     0.681     0.96     0.96     0.9008     0.9137     0.7176     0.7343
216     0.0688     -0.6644     0.668     0.9578     0.9578     0.9008     0.9137     0.7176     0.7343
217     0.0738     -0.668     0.672     0.96     0.96     0.9008     0.9137     0.7176     0.7343
218     0.0784     -0.6637     0.6684     0.9588     0.9588     0.9077     0.9203     0.7231     0.7394
219     0.0735     -0.6522     0.6563     0.96     0.96     0.9042     0.9242     0.728     0.7439
220     0.084     -0.6694     0.6746     0.9611     0.9611     0.9112     0.9236     0.7259     0.742
221     0.0854     -0.6786     0.684     0.963     0.963     0.9112     0.9236     0.7259     0.742
222     0.095     -0.6715     0.6782     0.9578     0.9578     0.9112     0.9236     0.7259     0.742
223     0.1044     -0.6748     0.6828     0.9599     0.9599     0.9112     0.9236     0.7259     0.742
224     0.0996     -0.6879     0.695     0.9609     0.9609     0.9141     0.9118     0.7188     0.7357
225     0.0937     -0.6948     0.7011     0.9631     0.9631     0.9055     0.9037     0.7244     0.7266
226     0.0937     -0.6784     0.6848     0.9589     0.9589     0.9091     0.9071     0.7273     0.7292
227     0.0943     -0.6762     0.6827     0.962     0.962     0.9105     0.9158     0.7315     0.7402
228     0.08     -0.6618     0.6666     0.9578     0.9578     0.9147     0.9197     0.7287     0.7447
229     0.0774     -0.6475     0.6521     0.9598     0.9598     0.9112     0.9236     0.7259     0.742
230     0.0765     -0.638     0.6425     0.9579     0.9579     0.9077     0.9275     0.7308     0.7465
231     0.0823     -0.6542     0.6594     0.9609     0.9609     0.9084     0.9353     0.7328     0.7552
232     0.0902     -0.6254     0.6318     0.9621     0.9621     0.9049     0.9391     0.7376     0.7596
233     0.0872     -0.6178     0.6239     0.9599     0.9599     0.9084     0.9424     0.7405     0.7622
234     0.0913     -0.6122     0.619     0.9621     0.9621     0.9049     0.9391     0.7452     0.7666
235     0.085     -0.6065     0.6124     0.9588     0.9588     0.8981     0.9466     0.7547     0.7751
236     0.0921     -0.57     0.5773     0.9579     0.9579     0.8981     0.9466     0.7547     0.7751
237     0.0936     -0.5485     0.5564     0.962     0.962     0.9057     0.9537     0.7623     0.782
238     0.0936     -0.5387     0.5468     0.9599     0.9599     0.9057     0.9537     0.7623     0.782
239     0.1082     -0.5479     0.5585     0.9631     0.9631     0.9091     0.9571     0.7652     0.7847
240     0.1116     -0.5284     0.5401     0.962     0.962     0.9091     0.95     0.7727     0.7917
241     0.1141     -0.4998     0.5126     0.9632     0.9632     0.9125     0.9534     0.7757     0.7944
242     0.1227     -0.47     0.4857     0.9652     0.9652     0.9119     0.9531     0.7739     0.793
243     0.1133     -0.4476     0.4618     0.9642     0.9642     0.8769     0.8841     0.7769     0.7958
244     0.1031     -0.4241     0.4364     0.9631     0.9631     0.8872     0.8864     0.7938     0.7972
245     0.0994     -0.3936     0.406     0.9641     0.9641     0.8984     0.8971     0.8047     0.8071
246     0.1084     -0.3533     0.3696     0.9642     0.9642     0.9062     0.9044     0.8125     0.8143
247     0.1092     -0.3408     0.3578     0.9631     0.9631     0.9062     0.9044     0.8125     0.8143
248     0.112     -0.3322     0.3506     0.9598     0.9598     0.9035     0.9236     0.8185     0.8339
249     0.1108     -0.338     0.3557     0.9588     0.9588     0.9077     0.9275     0.8231     0.838
250     0.1095     -0.3261     0.3439     0.961     0.961     0.9119     0.9314     0.8276     0.8421
251     0.1092     -0.3347     0.3521     0.9621     0.9621     0.9015     0.9429     0.8409     0.8542
252     0.1074     -0.3286     0.3458     0.9642     0.9642     0.8981     0.9466     0.8453     0.8581
253     0.0915     -0.3397     0.3518     0.9653     0.9653     0.9015     0.9429     0.8409     0.8542
254     0.103     -0.3444     0.3595     0.9642     0.9642     0.9049     0.9247     0.8213     0.8362
255     0.0966     -0.3739     0.3862     0.963     0.963     0.9015     0.9214     0.8182     0.8333
256     0.097     -0.3856     0.3976     0.9621     0.9621     0.8966     0.9025     0.7969     0.814
257     0.1092     -0.3972     0.4119     0.9631     0.9631     0.8966     0.9025     0.7969     0.814
258     0.1178     -0.4338     0.4495     0.9641     0.9641     0.8846     0.8913     0.7846     0.8028
259     0.118     -0.4626     0.4774     0.9652     0.9652     0.8837     0.8832     0.7829     0.7943
260     0.1231     -0.4647     0.4807     0.9642     0.9642     0.9154     0.9493     0.7769     0.7958
261     0.1278     -0.4571     0.4746     0.9643     0.9643     0.9154     0.9493     0.7769     0.7958
262     0.1267     -0.4837     0.5     0.9664     0.9664     0.9084     0.9424     0.7786     0.7972
263     0.1271     -0.4928     0.5089     0.9653     0.9653     0.9049     0.9391     0.7757     0.7944
264     0.1376     -0.4944     0.5131     0.9642     0.9642     0.9091     0.9429     0.7803     0.7986
265     0.1294     -0.485     0.5019     0.9642     0.9642     0.9057     0.9395     0.7849     0.8028
266     0.1223     -0.5142     0.5285     0.9652     0.9652     0.9023     0.9433     0.782     0.8
267     0.1251     -0.5286     0.5432     0.9673     0.9673     0.9091     0.9429     0.7803     0.7986
268     0.1189     -0.5306     0.5438     0.9662     0.9662     0.9084     0.9424     0.771     0.7902
269     0.1278     -0.5267     0.542     0.9641     0.9641     0.9084     0.9424     0.771     0.7902
270     0.116     -0.5508     0.5629     0.9673     0.9673     0.9084     0.9424     0.771     0.7902
271     0.1113     -0.567     0.5778     0.9684     0.9684     0.9119     0.9386     0.7663     0.786
272     0.1143     -0.5423     0.5542     0.9673     0.9673     0.9154     0.9348     0.7615     0.7817
273     0.1213     -0.5574     0.5705     0.9662     0.9662     0.9027     0.9231     0.7704     0.7687
274     0.1049     -0.5732     0.5827     0.9662     0.9662     0.8984     0.9191     0.7734     0.7643
275     0.1046     -0.5817     0.591     0.9673     0.9673     0.9055     0.9259     0.7717     0.7626
276     0.1141     -0.6101     0.6207     0.9652     0.9652     0.9127     0.9254     0.7698     0.7609
277     0.1093     -0.6163     0.6259     0.9662     0.9662     0.92     0.9173     0.76     0.7518
