# 2017-01-17 14:59:40.310514
# CT_x25
#  path: ../data_final/CT_x25/
#  thresholds: -457.88, 331.0
#  DC-average: 0.9771 (radius = 4)
#  DC-average (opti): 0.9771 (bestRadius: 4.0)
# MR_x25
#  path: ../data_final/MR_x25/
#  thresholds: 705.15, 2087.0
#  DC-average: 0.8943 (radius = 2)
#  DC-average (opti): 0.9145 (bestRadius: 2.16)
#  DC-average (CT-COM): 0.7664
#  DC-average (CT-COM, opti): 0.7715
# 
# sliceNr  warp_X  warp_Y  warpMagnitude  DC_CT  DC_CT_opti  DC_MR  DC_MR_opti  DC_MR_CT-COM  DC_MR_opti_CT-COM  warpDC  warpDC_opti
 48     -0.0816     -0.7594     0.7638     0.9759     0.9759     0.9235     0.9624     0.7371     0.7457     0.0584     0.0287
 49     -0.0779     -0.7448     0.7489     0.9794     0.9794     0.9263     0.965     0.7399     0.7484     0.0552     0.0262
 50     -0.0823     -0.741     0.7456     0.979     0.979     0.9237     0.9677     0.7406     0.749     0.0569     0.0241
 51     -0.0775     -0.7323     0.7364     0.9775     0.9775     0.9237     0.9677     0.7406     0.749     0.0562     0.0238
 52     -0.062     -0.724     0.7267     0.9768     0.9768     0.925     0.9689     0.7417     0.75     0.0545     0.0226
 53     -0.0768     -0.7244     0.7285     0.976     0.976     0.9224     0.9716     0.7452     0.7533     0.0565     0.0207
 54     -0.076     -0.7245     0.7284     0.9767     0.9767     0.9199     0.9742     0.7459     0.7539     0.0584     0.0188
 55     -0.073     -0.7044     0.7082     0.9764     0.9764     0.9212     0.9755     0.7469     0.7549     0.0558     0.0174
 56     -0.0901     -0.7221     0.7277     0.9832     0.9832     0.9199     0.9742     0.7486     0.7565     0.0583     0.0188
 57     -0.081     -0.6955     0.7002     0.979     0.979     0.9161     0.973     0.7538     0.7614     0.0587     0.0189
 58     -0.0773     -0.6876     0.692     0.9794     0.9794     0.9174     0.9743     0.7548     0.7624     0.0572     0.0178
 59     -0.0772     -0.6946     0.6989     0.9794     0.9794     0.9174     0.9743     0.7548     0.7624     0.0578     0.018
 60     -0.0698     -0.6934     0.6969     0.9794     0.9794     0.9174     0.9357     0.7576     0.765     0.0576     0.0448
 61     -0.078     -0.6916     0.696     0.9821     0.9821     0.9174     0.9357     0.7576     0.765     0.0575     0.0447
